,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,homepage,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,title,zipcode,tel,telname
10,경기도 가평군 북면 석장모루길 13,,31,0,A02,A0206,A02060100,130915,14,20070710000000,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1090950_image3_1.jpg,,127.54803230370001,37.8792143684,6.0,20180723171719,"경기도 가평군 북면에 위치한 '가평현암농경박물관'은 가속화되는 도시화와 산업화로 인해 사라져가는 농업의 소중한 문화 유산을 보존하기 위해 설립되었다. 가평교육청에서 가평북중학교 교내에 박물관을 설립하여 누구나 쉽게 방문하여 선조들의 지혜와 얼을 배우고 전통문화 창달에 기여할 수 있는 자리를 마련하였다. 박물관은 농업유물 위주로 전시관이 마련되어 있다. 전시실은 크게 다섯 개로 분류된다. 연출관은 옛선조들의 일상생활을 엿볼 수 있는 농촌가옥을 재현한 곳으로 민속자료 57점이 전시되어 있고, 농경사회에 주 가사도구가 되었던 소품 총 350여점이 전시된 민속관, 지역에 따라 농기구 형태가 어떻게 다른지를 보여주는 밭갈이관, 수확의 기쁨을 누릴 수 있는 104점의 추수연장이 전시된 추수관, 곡식을 가공할 수 있는 민속품 255점이 전시된 가공관으로 나누어져 있다.<br>",1,가평현암농경유물박물관,12407.0,,
11,서울특별시 종로구 북촌로 52,(가회동),1,0,A02,A0206,A02060100,130446,14,20071106015801,http://tong.visitkorea.or.kr/cms/resource/75/2550575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2550575_image2_1.jpg,"가회민화박물관 <a href=""http://www.gahoemuseum.org/"" target=""_blank"" title=""새창 : 가회민화박물관 홈페이지로 이동"">http://www.gahoemuseum.org</a>",126.9852144301,37.5814804075,6.0,20180906092900,"우리 겨레는 반만년이라는 유구한 세월 동안 외래문화를 수용하면서도 전통문화의 주체성과 독자성을 잘 지켜왔다. 그러나 오늘날 산업이 발달하고 생활양식이 급변하면서 우리의 전통문화는 점차 퇴색되어만 가고 있다. 이러한 시점에서 우리 민족의 전통유산인 민화를 체계적으로 연구하고 전시하여 훌륭한 문화유산을 느끼는 일은 매우 중요하다. 가회민화박물관은 우리의 소중한 문화유산을 일깨우기 위해 선조들의 삶과 지혜가 담겨 있는 민화와 부적을 좀 더 깊이 있게 연구하여 그 소중함을 일깨우고자 하는 데 설립 목적을 두고 있다.<br> 
2002년에 문을 연 가회민화박물관에서 전시하고 있는 민화는 우리의 삶과 닮아 있는 그림이며, 무병장수(無病長壽), 부귀다남(富貴多男), 부귀공명(富貴功名) 등 인간의 소박한 바람이 담겨 있다. 한편 벽사적인 의미를 담고 있는 민화를 통해 사람들은 그려진 소재의 주술적인 힘이 여러 가지 재앙으로부터 보호해주고 소원도 이루어준다고 믿었다.<br>",23,가회민화박물관,3056.0,,
12,서울특별시 중구 을지로 281,"(을지로7가), DDP 배움터 2층 디자인박물관",1,0,A02,A0206,A02060500,130511,14,20040528000000,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,"간송미술문화재단 <a href=""http://www.kansong.org/"" target=""_blank"" title=""새창 : 간송미술문화재단 홈페이지로 이동"">http://www.kansong.org</a><br />
DDP <a href=""http://www.ddp.or.kr"" target=""_blank"" title=""새창 : DDP 홈페이지로 이동"">http://www.ddp.or.kr</a>",127.0103125191,37.568196291599996,6.0,20190827092945,"※ 복원공사로 인해 임시휴관<br /><br />간송미술관은 우리나라 최초의 사립미술관으로, 간송 전형필 선생이 1938년 보화각(葆華閣)이라는 이름으로 개관한 후 1966년 간송미술관으로 재편되었다. 설립자 간송 전형필은 일제강점기, 식민지배를 위해 의도적으로 평가절하되고 말살되어가던 우리나라 문화의 우수성과 아름다움을 후세에도 널리 알리고자 우리나라를 대표할 만한 유물들을 연구하며 지켰다. 간송미술관은 국보 12점, 보물 10점, 그리고 서울시 유형문화재 4점을 보유하고 있으며, 소장품들은 동대문디자인플라자(DDP)에서 열리는 '간송문화전'을 통해 만나볼 수 있다.<br>",24,간송미술관,4566.0,,
13,충청북도 음성군 음성읍 생음대로 594,,33,0,A02,A0206,A02060200,987769,14,20100326174419,http://tong.visitkorea.or.kr/cms/resource/34/1075534_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1075534_image3_1.jpg,"음성군청 <a href=""https://www.eumseong.go.kr/www/index.do"" target=""_blank"" title=""새창: 음성군청 "">https://www.eumseong.go.kr/www/index.do</a>",127.64703901719999,36.950693117600004,6.0,20190307111148,"감우재전승기념관은 6.25전쟁 중 최초의 대승전인 음성지구(감우재)전투의 승전을 기념하기 위하여 무극전적국민관광지에 건립하여 2003년 11월 개관하였다. 감우재전승기념관에는 음성지구전투의 관련자료, 6.25전쟁 당시의 전투장비(병기류, 복장류, 보급품 등)와, 전쟁의 참상, 전쟁 당시의 생활상 등에 대한 자료를 수집, 전시함으로써 전쟁에 대하여 살펴볼 수 있는 역사의 산교육장이다.<br>",6,감우재전승기념관,27685.0,,
14,제주특별자치도 제주시 조천읍 남조로 1904,,39,0,A02,A0206,A02060300,1939058,14,20140805094554,http://tong.visitkorea.or.kr/cms/resource/47/1938047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1938047_image3_1.jpg,"갓전시관 <a href=""https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500023"" target=""_blank"" title=""새창:갓전시관 "">https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500023</a>",126.6708367701,33.4372396188,6.0,20190806095824,제주특별자치도는 조선시대 갓 공예의 중심지였던 이미지를 부각시켜 문화관광자원으로 활용하고 무형문화재의 맥이 끊기지 않도록 보호·전승하기 위해 제주시 조천읍 교래리 4거리 인근에 전시관을 개관했다.<br /><br />국가무형문화재 제4호(1964.12.24 지정)<br>,4,갓전시관,63346.0,,
15,전라남도 해남군 문내면 관광레저로 12,,38,0,A02,A0206,A02061100,1623934,14,20120507135428,http://tong.visitkorea.or.kr/cms/resource/31/1608131_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1608131_image3_1.jpg,"(사)해남우수영강강술래 진흥보존회<a href=""http://ggsr.kr/"" target=""_blank"" title=""새창 : (사)해남우수영강강술래 진흥보존회 홈페이지로 이동"">http://ggsr.kr/</a>",126.3108529592,34.5732988681,6.0,20181227141903,"강강술래에 대한 유래, 의미, 역사에 어떻게 나와있는지 등을 자세히 알고 배워볼 수 있는 기회가 주어지는 곳이다.<br>",23,강강술래 전수관,59004.0,,
16,서울특별시 강남구 테헤란로8길 36,(역삼동),1,0,A02,A0206,A02060700,130373,14,20071106015448,http://tong.visitkorea.or.kr/cms/resource/87/1807787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1807787_image3_1.jpg,"강남문화원 <a href=""http://www.sgnc.or.kr"" target=""_blank"" title=""새창 : 강남문화원 홈페이지로 이동"">www.sgnc.or.kr </a>",127.0320236842,37.4964911212,6.0,20180702144155," 강남문화원은 개원 이래 30여 문화강좌를 개설하고 미술, 서예, 독서, 생활수기, 전통예술제를 비롯한 각종 문화행사를 통하여 구민이 한마음 되도록 하고 강남구를 문화의 고장으로 발전시켜 지역사회개발과 나라발전에 기여할 것을 목적으로 화합의  문화를 열어 가도록 노력하고 있다.<br>",1,강남문화원,6240.0,,
17,서울특별시 강동구 상암로 168,(천호동),1,0,A02,A0206,A02060700,130376,14,20071106015454,http://tong.visitkorea.or.kr/cms/resource/92/1865292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1865292_image3_1.jpg,"강동문화원 <a href=""http://www.gdcc.or.kr/"" title=""새창 : 강동문화원 홈페이지로 이동"" target=""_blank"">http://www.gdcc.or.kr</a>",127.14121235,37.5457151498,6.0,20180131141143,"강동문화원은 지방문화원 진흥법에 의거, 1999년 1월 29일 서울특별시로부터 설립인가를 받아 강동구지역 문화의 개발, 보급, 보존, 전승 및 선양을 위하여 설립 되었다. 1999년 설립되어 그동안 운영이 미진하였으나 2005년 새로운 임원진 구성과 함께 강동구 일원 지표조사를 실시하는 등 활발한 활동을 하고 있다.<br>",2,강동문화원,5314.0,,
18,서울특별시 강동구 동남로 870,(상일동),1,0,A02,A0206,A02060600,1750737,14,20121112160214,http://tong.visitkorea.or.kr/cms/resource/74/2030474_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2030474_image3_1.jpg,"강동아트센터 <a href=""http://www.gangdongarts.or.kr"" target=""_blank"" title=""새창 : 강동아트센터 홈페이지로 이동"">http://www.gangdongarts.or.kr</a>",127.1573440585,37.5512009153,6.0,20190516154115,"강동아트센터는 강동구 명일근린공원 내에 위치한 전문 공연장으로 자연공원과 문화공간이 경계없이 조우하는 사용자 중심의 편안한 구조의  공연장이다. 객석수 850석 규모의 대극장(한강)은 오페라, 발레, 뮤지컬, 콘서트 등 다양한 장르의 공연을 위한 최첨단 시설을 갖추고 있다. 전위적이고 창조적인 공연이 가능한 250석 규모의 소극장(드림)은 첨단 메커니즘을 갖추고 있으며, 연출자의 의도에 따라 극장의 운영형태를 자유롭게 바꿀 수 있는 실험적인 극장이다. 또한, 전시를 위한 아트갤러리와 창작 공간 및 교육 프로그램을 위한 3곳의 스튜디오를 갖추고 있다.<br />
* 개관일 2011년 9월 1일<br>",2,강동아트센터,5278.0,,
19,강원도 강릉시 단오장길 1,(노암동),32,0,A02,A0206,A02060700,1722228,14,20120920093109,,,"강릉단오제전수교육관 <a href=""http://www.danocenter.kr/"" target=""_blank"" title=""새창 : 강릉단오제전수교육관 홈페이지로 이동"">http://www.danocenter.kr</a>",128.89502532,37.7481857234,6.0,20181029160815,"2005년 11월 25일 강릉단오제의 유네스코 ‘인류구전 및 무형유산 걸작’ 선정을 위한 노력의 일환으로 2004년 건립되었다. 
강릉단오제(국가무형문화재 제13호)의 전승활동과 일반인들에게 사계절 강릉단오제를 관람할 수 있는 기회를 부여하는 등 강릉단오제를 중심으로 전통문화교실을 운영하고 있는 시민 문화 공간이다.<br />
* 개관일 2004년 2월 19일<br>",1,강릉단오제전수교육관,25586.0,,
20,강원도 강릉시 하슬라로 96,(교동),32,0,A02,A0206,A02060700,129942,14,20071106013624,http://tong.visitkorea.or.kr/cms/resource/82/177382_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/177382_image3_1.jpg,"강릉문화원 <a href=""http://www.gncc.or.kr"" target=""_blank"" title=""새창 : 강릉문화원 홈페이지로 이동"">http://www.gncc.or.kr</a>",128.8738046819,37.7587674189,6.0,20180116105510,"강릉문화원은 지방문화원진흥법에 의하여 1964년도에 개원한 순수민간 문화단체로 전통문화 계승, 보존과 지역사회계발 및 향토 문화진흥을 목적으로 설립된 비영리 특별법인이다.<br>",1,강릉문화원,25517.0,,
21,강원도 강릉시 율곡로3139번길 24,(죽헌동),32,0,A02,A0206,A02060100,129784,14,20071106013001,http://tong.visitkorea.or.kr/cms/resource/15/1185615_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1185615_image3_1.jpg,"오죽헌/시립박물관 <a href=""http://www.gn.go.kr/museum/"" target=""_blank"" title=""새창 : 오죽헌/시립박물관 홈페이지로 이동"">http://www.gn.go.kr/museum/</a>",128.8766149376,37.7782679956,6.0,20190617110423,"오죽헌과 강릉시립박물관으로 구분된다. 오죽헌은 조선초기의 건축물로 건축사적인 면에서 그 중요성을 인정받아 보물 제165호로 지정되었다. 이곳 오죽헌 몽룡실에서 율곡 이이가 태어났다. 경내에는 오죽헌을 비롯하여 문성사(文成祠), 사랑채, 어제각(御製閣), 율곡기념관 등이 있으며, 율곡기념관에는 사임당, 율곡, 매창, 옥산의 예술적 면모를 살펴볼 수 있는  유작들이 전시되어 있다. 1962년부터 현재까지 매년 율곡을 추모하는 대현이율곡선생제곡제를 봉행하고 있다. 시립박물관은  영동지방의 민속자료와 향토 유물을 수집·보관·연구·전시하며, 전통문화를 계승 발전시키고 사회교육 및 시민의 정서함양에 기여하기 위한 취지로 설립되었다.  전시관은 영동지방에서 사용하던 생업도구와 의식주 관련 용품들이 전시된 향토민속관, 강릉지방에서 출토된 선사유물·불교유물·자기·전적·서화류가 전시된 역사문화관, 석조물과 영동지방의 묘제가 복원된 야외전시장으로 구분된다.<br>",1,강릉시 오죽헌/시립박물관,25465.0,,
22,강원도 강릉시 죽헌길 7,(지변동) 강릉원주대학교 학술정보지원센터(C5건물) 내 3·4층,32,0,A02,A0206,A02060100,2551386,14,20180620095244,http://tong.visitkorea.or.kr/cms/resource/83/2551383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2551383_image2_1.jpg,"국립 강릉원주대학교 박물관 <a title=""새창 : 국립 강릉원주대학교 박물관 홈페이지로 이동"" href=""http://museum.gwnu.ac.kr"" target=""_blank"">http://museum.gwnu.ac.kr</a>",128.8700824251,37.7707381838,6.0,20191018134506,"강릉원주대학교 박물관은 강릉원주대학교 학술정보지원센터(도서관, C5) 내 위치하고 있으며,1968년 향토관을 설치를 시작으로 1979년 강릉대학으로 승격되면서 같은 해 3월 1일 박물관이 개관하였다. 1989년부터 강원도의 영동지역을 중심으로 영서까지 직접 발굴조사한 유적지의 유물을 수집·보관하고 있으며, 4층 전시실에는 영동지역의 역사·문화를 살펴볼 수 있도록&nbsp; 전시가 구성되어 있다. 또한 강릉원주대학교의 발자취를 느껴볼 수 있는 교사자료실을 비롯해 매 년 다양한 주제로 특별전시실을 운영하고 있다.<br>",1,강릉원주대학교 박물관,25457.0,,
23,서울특별시 강북구 삼각산로 85,(수유동),1,0,A02,A0206,A02060700,130217,14,20071106014715,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image3_1.jpg,"강북문화원 <a href=""http://www.gbculture.or.kr/"" title=""새창 : 강북문화원 홈페이지로 이동"" target=""_blank"">http://www.gbculture.or.kr/</a>",127.01331018280001,37.640843455100004,6.0,20180221142648,강북문화원은 강북구 지역의 역사와 문화의 숨결 등 다양한 문화정보를 제공하고 있다.<br>,3,강북문화원,1036.0,,
24,전라북도 전주시 완산구 전주천동로 74,(교동),37,0,A02,A0206,A02060300,130090,14,20071106014148,http://tong.visitkorea.or.kr/cms/resource/94/1605494_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1605494_image3_1.jpg,"강암서예관 <a href=""http://www.gangamseoye.com/"" target=""_blank"" title=""새창 : 강암서예관 홈페이지로 이동"">http://www.gangamseoye.com</a>",127.1524920198,35.811281378800004,6.0,20180313100031,"예향 또는 예도 전주의 분위기를 찾아보려면 '전주시 강암서예관'을 찾아보면 좋다. 전주를 상징하는 풍남문에서 경기전을 거쳐 동쪽으로 오목대, 향교, 한벽당 등이 이어있는 교동 전주천변에 1995년에 개관한 '전주시 강암서예관'은 예술을  사랑하는 사람들의 발길이 이어지고 있다.<br>
조상 때부터 서맥을 이어오고 있는 이 고장 출신으로 서예계의 거봉인 강암 송성용의 뜻으로 세워진  이 서예관에는, 추사 김정희, 창암 이삼만, 단원 김홍도의 작품과 다산 정약용의 간찰 등을  포함한 작품 등이 1,162점이나 전시되고 있는 우리나라 유일의 단일 서예전시관이다. 
한편  '전주시 강암서예관'에서 200m 북쪽에 최근에 동학혁명을 기리는  동학혁명기념관이 세워져 동학혁명의 자취를 더듬어볼 수 있다.&nbsp;<br>",12,강암서예관,55044.0,,
