,addr1,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,addr2
11,제주특별자치도 서귀포시 대정읍,39,A02,A0207,A02070200,712175,15,20090326164207,http://tong.visitkorea.or.kr/cms/resource/18/1999118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1999118_image3_1.jpg,126.2717384970,33.1701766897,6.0,20190305111820,73844,3,가파리사무소 064-794-7130,가파도청보리축제 2019,63514,가파도 일원
12,경기도 가평군 청평면 에덴벚꽃길 189,31,A02,A0207,A02070200,2484272,15,20170308142844,http://tong.visitkorea.or.kr/cms/resource/04/2540804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2540804_image2_1.jpg,127.4864296700,37.7815968116,6.0,20190415124917,15445,1,"031-585-0025, 031-581-1300",가평 에덴벚꽃길 벚꽃축제 2019,12449,
13,경기도 가평군 가평읍 달전리 1-1,31,A02,A0207,A02070200,2039819,15,20151109143241,http://tong.visitkorea.or.kr/cms/resource/06/2618006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2618006_image2_1.jpg,127.5309525109,37.8117052413,6.0,20190909092246,14975,1,02-6080-6177,가평 자라섬 전국 막걸리 페스티벌 2019,12422,
14,경기도 가평군 가평읍 가평제방길 119,31,A02,A0207,A02070200,910544,15,20091231100828,http://tong.visitkorea.or.kr/cms/resource/48/2560348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2560348_image2_1.jpg,127.5174061076,37.8258616779,6.0,20191226092031,177625,1,031-581-6423,가평씽씽송어축제 2020,12419,
15,경기도 양주시 남면 감악산로244번길 189,31,A02,A0207,A02070200,1815964,15,20130604133452,http://tong.visitkorea.or.kr/cms/resource/14/2622114_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/14/2622114_image2_1.png,126.9738399010,37.8931800166,6.0,20191001160400,5033,18,"031-867-5683, 031-8082-7572",감악문화축제 2019,11404,
16,경상남도 거창군 신원면,36,A02,A0207,A02070200,1506389,15,20111222112211,http://tong.visitkorea.or.kr/cms/resource/10/2582210_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/2582210_image2_1.JPG,127.9274012896,35.5953250627,6.0,20181226102331,3991,2,010-2712-4482,감악산 해맞이 2019,50153,
17,부산광역시 사하구 감내2로 203,6,A02,A0207,A02070200,1413379,15,20140416114223,http://tong.visitkorea.or.kr/cms/resource/93/2542893_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2542893_image2_1.JPG,129.0106253789,35.0975007038,6.0,20190419104334,62434,10,051-291-1444,감천문화마을 골목축제 2019,49368,
18,경산시 와촌면 대한리 갓바위 공영주차장,35,A02,A0207,A02070200,140897,15,20050915000000,http://tong.visitkorea.or.kr/cms/resource/00/2614900_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2614900_image2_1.jpg,128.7573259398,35.9781440703,6.0,20190819135805,27338,1,053-851-0022,갓바위소원성취축제 2019,38412,
19,서울특별시 강남구 도산대로13길,1,A02,A0208,A02081300,2618874,15,20190917111239,http://tong.visitkorea.or.kr/cms/resource/84/2619684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2619684_image2_1.jpg,127.0234738367,37.5186022892,6.0,20190919092954,0,1,02-576-5313,강남페스티벌 가로수길 그래피티 낙서해봐 2019,06036,
20,서울특별시 강남구 영동대로 513,1,A02,A0207,A02070200,737479,15,20090521095913,http://tong.visitkorea.or.kr/cms/resource/33/2560433_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2560433_image2_1.jpg,127.0594124394,37.5112648981,6.0,20190923160446,70141,1,02-3423-5542,강남페스티벌 2019,06164,
21,서울특별시 강동구 올림픽로 875,1,A02,A0207,A02070200,1307813,15,20110614164707,http://tong.visitkorea.or.kr/cms/resource/84/2618584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2618584_image2_1.jpg,127.1303240272,37.5606243328,6.0,20190911170446,66461,2,02-3425-5240,강동선사문화축제 2019,05239,
22,서울특별시 강동구 상암로 168,1,A02,A0207,A02070200,1806376,15,20130422102127,http://tong.visitkorea.or.kr/cms/resource/15/2624015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2624015_image2_1.jpg,127.1412123500,37.5457151498,6.0,20191011100036,21828,2,"강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223",강동톡페스티벌 2019,05314,
23,강원도 강릉시 경포로 365,32,A02,A0207,A02070200,695592,15,20090218154738,,,128.8955294025,37.7943165070,6.0,20190326150422,185207,1,관광과 033-640-5913,강릉 경포벚꽃잔치 2019,25461,(저동)
24,강원도 강릉시 율곡로3139번길 24,32,A02,A0208,A02080100,2485750,15,20170316153002,http://tong.visitkorea.or.kr/cms/resource/85/2487085_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2487085_image2_1.JPG,128.8766149376,37.7782679956,6.0,20190415131254,2793,1,,강릉 관노가면극 2019,25465,(죽헌동)
25,강원도 강릉시 단오장길 1,32,A02,A0207,A02070200,531391,15,20080414154012,http://tong.visitkorea.or.kr/cms/resource/95/2543695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2543695_image2_1.jpg,128.8950169869,37.7482134974,6.0,20190513112828,143108,1,033-641-1593,강릉 단오제 2019,25586,
26,강원도 강릉시 임영로131번길 6,32,A02,A0207,A02070200,2541883,15,20180406094032,http://tong.visitkorea.or.kr/cms/resource/19/2606919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2606919_image2_1.jpg,128.8920698750,37.7532267491,6.0,20190822133207,7305,1,033-823-3225(강릉문화원문화기획팀),강릉 문화재야행 2019,25534,
27,강원도 강릉시 주문진읍 신리천로 527-3,32,A02,A0207,A02070200,1000368,15,20100416150615,http://tong.visitkorea.or.kr/cms/resource/69/1993569_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1993569_image2_1.jpg,128.7767374890,37.8792293596,6.0,20190411110613,29013,1,033-661-5207~8,강릉 복사꽃축제 2019,25402,(주문진읍)
28,강원도 강릉시 연곡면 소금강길 8,32,A02,A0207,A02070200,2602727,15,20190521143437,http://tong.visitkorea.or.kr/cms/resource/26/2602726_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2602726_image2_1.jpg,128.7025117835,37.8493286048,6.0,20190521143437,20,1,033-660-3152,강릉 소금강산채마을 산채푸드페스티벌 2019,25400,
29,강원도 강릉시 왕산면 왕산로 2171-19,32,A02,A0207,A02070200,1738270,15,20121023131331,http://tong.visitkorea.or.kr/cms/resource/44/399244_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/399244_image3_1.jpg,128.7848937448,37.6522391209,6.0,20190603141911,23437,1,"033-655-6644, 033-652-5599",강릉 커피나무축제 2019,25641,(왕산면)
30,강원도 강릉시 주문진읍 해안로 1730,32,A02,A0208,A02081300,2494459,15,20170530153902,http://tong.visitkorea.or.kr/cms/resource/57/2589257_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2589257_image2_1.jpg,128.8285935985,37.8895291758,6.0,20190122162055,17553,1,1522-8905,강릉 하트불꽃크루즈 2019,25418,
31,강원도 강릉시 사천면 중앙서로 516,32,A02,A0207,A02070200,1004506,15,20100421154029,http://tong.visitkorea.or.kr/cms/resource/68/2480168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2480168_image2_1.jpg,128.8152366771,37.7931400792,6.0,20190411175624,25600,1,해살이마을운영위원회 033-648-8123,강릉 해살이마을 개두릅축제 2019,25438,(사천면)
32,강원도 강릉시 종합운동장길 69,32,A02,A0208,A02081300,2618450,15,20190910174810,http://tong.visitkorea.or.kr/cms/resource/89/2619089_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2619089_image2_1.jpg,128.8976131841,37.7737772578,6.0,20190917173218,0,1,033-640-2018,강릉 K-POP콘서트 2019,25474,(교동)
33,강원도 강릉시 종합운동장길 84,32,A02,A0208,A02081300,2628962,15,20191022133748,http://tong.visitkorea.or.kr/cms/resource/61/2628961_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/61/2628961_image2_1.png,128.8954273345,37.7716996777,6.0,20191022133748,0,1,033-647-6807,강릉국제영화제(GIFF) 2019,25474,
34,강원도 강릉시 종합운동장길 32,32,A02,A0207,A02070200,2555934,15,20180731143936,http://tong.visitkorea.or.kr/cms/resource/51/2611151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2611151_image2_1.jpg,128.8925247549,37.7737410517,6.0,20190716141211,2257,1,070-7791-3165,강릉빙상스포츠페스티벌 2019,25474,
35,강원도 강릉시 연곡면 삼산리 56,32,A02,A0207,A02070200,1281089,15,20110517114527,http://tong.visitkorea.or.kr/cms/resource/80/1182380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1182380_image3_1.jpg,128.7044765951,37.8136133361,6.0,20191018155515,9874,1,연곡면사무소 033-660-3681~2,강릉소금강청학제 2019,210-863,
36,서울특별시 강북구 화계사길 117,1,A02,A0208,A02081300,2592414,15,20190318154141,http://tong.visitkorea.or.kr/cms/resource/12/2592412_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/12/2592412_image2_1.JPG,127.0070665450,37.6325109780,6.0,20190318154941,50,3,02-761-2588,강북구 근현대사 역사탐방여행 2019,01095,(수유동)
37,서울특별시 강북구 우이동 186-5,1,A02,A0207,A02070200,2558060,15,20180820110007,http://tong.visitkorea.or.kr/cms/resource/13/2616713_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2616713_image2_1.JPG,127.0072768111,37.6615103869,6.0,20190827112012,721,3,02-901-6227,강북구 산악문화제 2019,01002,
38,부산 강서구 대저1동 2513-2,6,A02,A0207,A02070200,2536122,15,20180213141356,http://tong.visitkorea.or.kr/cms/resource/20/2536120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2536120_image2_1.jpg,128.9864799778,35.2095627071,6.0,20190305145655,14485,1,051-970-4062,강서낙동강30리 벚꽃축제 2019,,
39,광주광역시 북구 하서로 110국립광주박물관,5,A02,A0208,A02080500,2615760,15,20190819103937,http://tong.visitkorea.or.kr/cms/resource/57/2615757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2615757_image2_1.jpg,126.8830624113,35.1890917442,6.0,20190819103937,0,4,062-570-7068,"강우방선생과 함께하는 한국회화의 금자탑, 민화 읽는 법 2019",61066,
40,강원도 인제군 기린면 상하답로 130,32,A02,A0207,A02070200,2615113,15,20190813152655,http://tong.visitkorea.or.kr/cms/resource/11/2615111_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/2615111_image2_1.JPG,128.2950634635,38.0012086833,6.0,20190816152618,0,10,02-6740-7860,강원 국제 모터페스타 2019,24654,
41,강원도 춘천시 평화로 1,32,A02,A0207,A02070200,2488843,15,20170404172212,http://tong.visitkorea.or.kr/cms/resource/53/2597253_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2597253_image2_1.JPG,127.7215607554,37.8855029718,6.0,20190416105153,7307,13,033-255-5458,강원 산나물한마당축제 2019,24242,
42,강원도 춘천시 서면 박사로 882,32,A02,A0207,A02070200,2512952,15,20171026105752,http://tong.visitkorea.or.kr/cms/resource/60/2617060_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2617060_image2_1.JPG,127.6927991992,37.8951540906,6.0,20190830154401,4836,13,070-7005-6870,"강원과학기술대축전, 강원 지식재산 페스티벌 2019",24461,
43,강원도 춘천시 평화로 26,32,A02,A0208,A02080600,2496162,15,20170615173512,http://tong.visitkorea.or.kr/cms/resource/58/2496158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2496158_image2_1.jpg,127.7184944906,37.8813589518,6.0,20190605143924,3282,13,033-260-9320,강원그린박람회 2019,24243,(근화동)
44,전라남도 강진군 강진읍 영랑생가길 15,38,A02,A0207,A02070200,1571689,15,20120320165644,http://tong.visitkorea.or.kr/cms/resource/55/220655_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/220655_image2_1.jpg,126.7652585191,34.6420874867,,20190419104126,22032,1,영랑기념사업회 061-434-0103,강진 영랑문학제 2019,59228,(강진읍)
45,전라남도 강진군 강진읍 남당로 97-111,38,A02,A0207,A02070200,2435280,15,20161019152450,http://tong.visitkorea.or.kr/cms/resource/45/2562045_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2562045_image2_1.JPG,126.7739666192,34.6201595364,6.0,20190916143528,21472,1,061-430-3351~7,강진만 춤추는 갈대축제 2019,59241,
46,인천 강화군 강화읍 관청리,2,A02,A0207,A02070200,2605336,15,20190605150710,http://tong.visitkorea.or.kr/cms/resource/35/2605335_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/35/2605335_image2_1.png,126.4855748369,37.7487881453,6.0,20190605150710,0,1,032-468-5432,강화 문화재 야행 2019,,
47,인천광역시 강화군 강화읍 관청길27번길 4,2,A02,A0207,A02070200,2553715,15,20180713165721,http://tong.visitkorea.or.kr/cms/resource/10/2553710_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2553710_image2_1.jpg,126.4867108429,37.7488159405,6.0,20180726102119,1138,1,1811-9008,강화고려문화축전 2018,23031,
48,인천광역시 강화군 내가면 고비고개로741번길 37-30,2,A02,A0207,A02070200,1964700,15,20141112153257,http://tong.visitkorea.or.kr/cms/resource/18/2575518_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2575518_image2_1.JPG,126.4136461171,37.7202402100,6.0,20191129145413,119155,1,032-933-1366,"강화도 빙어, 송어 축제 2020",23018,(내가면)
49,인천광역시 강화군 양도면 중앙로787번길 8-2,2,A02,A0207,A02070200,1774420,15,20130103101132,http://tong.visitkorea.or.kr/cms/resource/56/2570856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2570856_image2_1.jpg,126.4312173349,37.6984402831,6.0,20191216102433,105057,1,"010-6664-4354, 010-7617-6606",강화도 송어빙어축제 2020,23055,
50,"인천광역시 강화군 길상면 초지리 1375-1, 초지대교 앞",2,A02,A0207,A02070200,2616441,15,20190826104905,http://tong.visitkorea.or.kr/cms/resource/39/2616439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2616439_image2_1.jpg,126.5307380038,37.6264420922,6.0,20190917101000,0,1,032-930-4140,강화섬포도축제 2019,,
51,전라북도 부안군 상서면 개암로 197,37,A02,A0207,A02070200,2588930,15,20190121094455,http://tong.visitkorea.or.kr/cms/resource/26/2588926_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2588926_image2_1.jpg,126.6549957639,35.6605122244,6.0,20190121094455,12,6,063-582-5031,개암동 벚꽃축제 2019,56336,
52,강원도 춘천시 남산면 남이섬길 1,32,A02,A0208,A02080500,2568912,15,20181122132815,http://tong.visitkorea.or.kr/cms/resource/89/2568889_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2568889_image2_1.jpg,127.5261035858,37.7901159965,6.0,20181122133708,53,13,031-580-8193,개인취향 展 2019,24464,
53,서울특별시 종로구 인왕산로 22,1,A02,A0207,A02070200,1372085,15,20110825151910,http://tong.visitkorea.or.kr/cms/resource/44/2621144_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/2621144_image2_1.JPG,126.9657719166,37.5758807095,6.0,20191004092622,12866,23,02-736-6375,개천절 대제전 2019,03027,
54,서울특별시 강서구 개화동,1,A02,A0207,A02070200,1155897,15,20101229103003,http://tong.visitkorea.or.kr/cms/resource/18/2582518_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2582518_image2_1.jpg,126.8047169862,37.5821048853,6.0,20191226132019,22341,4,02-2600-6455,개화산 해맞이 2020,07501,
55,서울특별시 영등포구 경인로 757,1,A02,A0208,A02081300,2502101,15,20170801134012,http://tong.visitkorea.or.kr/cms/resource/89/2556589_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2556589_image2_1.JPG,126.8975465544,37.5137561530,6.0,20180820093647,6475,20,02-2636-4861,거리예술마켓_문화비축기지 2018,07299,(문래동3가)
56,전남 여수시 삼산면 거문리,38,A02,A0207,A02070200,1340294,15,20110725103312,,,127.3106896352,34.0249238346,6.0,20190729170511,25079,13,1899-2012,거문도백도 은빛바다축제 2019,556-850,
57,제주 제주시 조천읍,39,A02,A0208,A02081300,1336440,15,20110720173949,http://tong.visitkorea.or.kr/cms/resource/26/1287226_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/1287226_image3_1.jpg,126.7118771715,33.4583490542,,20180608153006,14875,4,064-750-2523,거문오름 국제트레킹대회 2018,695-960,선흘2리
58,경상남도 거제시 장목면 외포5길 34,36,A02,A0207,A02070200,650951,15,20081112154018,http://tong.visitkorea.or.kr/cms/resource/02/2641002_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/02/2641002_image2_1.png,128.7194799643,34.9396463829,6.0,20191217173929,20520,1,055-369-4273,거제 대구 수산물축제 2019,53202,
59,경상남도 거제시 계룡로11길 26,36,A02,A0207,A02070200,589170,15,20080717172617,http://tong.visitkorea.or.kr/cms/resource/91/2551991_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/91/2551991_image2_1.png,128.6184763736,34.8829397876,6.0,20190503144902,22179,1,055-639-4784,거제 바다로세계로 2019,53257,
60,경상남도 거제시 계룡로11길 26,36,A02,A0207,A02070200,2543846,15,20180423155229,http://tong.visitkorea.or.kr/cms/resource/37/2600237_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2600237_image2_1.jpg,128.6184763736,34.8829397876,6.0,20190430164058,1065,1,055-639-3823,거제 어린이 축제 2019,53257,(고현동)
61,경상남도 거제시 옥포로 122,36,A02,A0207,A02070200,1327778,15,20110708145526,http://tong.visitkorea.or.kr/cms/resource/47/2601347_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2601347_image2_1.jpg,128.6931891049,34.8909735712,6.0,20190605154243,2591,1,055-639-3394,거제 옥포대첩 축제 2019,53232,(옥포동)
62,경상남도 거제시 장승로 146-25,36,A02,A0207,A02070200,2640223,15,20191211134618,http://tong.visitkorea.or.kr/cms/resource/19/2640219_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2640219_image2_1.jpg,128.7271117837,34.8673851544,6.0,20191211134618,0,1,055-639-3944,거제 장승포항 송년불꽃축제 2019,53320,
63,경상남도 거제시 장승포동 685-3,36,A02,A0207,A02070200,2614762,15,20190809094709,http://tong.visitkorea.or.kr/cms/resource/27/2615527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2615527_image2_1.jpg,128.7260813301,34.8669324083,6.0,20190816151909,0,1,055-639-3373,거제맥주축제 2019,,
64,경상남도 거제시 거제면 거제남서로 3577,36,A02,A0207,A02070200,1732929,15,20121015132933,http://tong.visitkorea.or.kr/cms/resource/00/2614400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2614400_image2_1.jpg,128.5795665696,34.8565698127,6.0,20190807112719,82358,1,055-639-6443,거제섬꽃축제 2019,53285,
65,경상남도 거창군 신원면 신차로 2924,36,A02,A0208,A02080500,1426937,15,20111103170201,http://tong.visitkorea.or.kr/cms/resource/00/2436600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2436600_image2_1.jpg,127.9278050664,35.5565877844,6.0,20191017171220,6333,2,055)940-8510,거창 국화전시 2019,50153,(신원면)
66,경상남도 거창군 거창읍 중앙로 103,36,A02,A0207,A02070200,1866255,15,20131203110702,http://tong.visitkorea.or.kr/cms/resource/19/2638719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2638719_image2_1.jpg,127.9095393091,35.6866949586,6.0,20191127141859,22057,2,070-8809-9182,거창 크리스마스트리문화축제 2019,50132,
67,경상남도 거창군 위천면 황산1길 60-6,36,A02,A0207,A02070200,142069,15,20070709000000,http://tong.visitkorea.or.kr/cms/resource/96/2553696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2553696_image2_1.jpg,127.8372103850,35.7606630635,6.0,20190924142731,35475,2,055-942-1755,거창국제연극제 2019,50103,
68,경상남도 거창군 위천면 황산1길 60-6,36,A02,A0207,A02070200,2553701,15,20180713160536,http://tong.visitkorea.or.kr/cms/resource/00/2553700_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2553700_image2_1.jpg,127.8372103850,35.7606630635,6.0,20190807134504,394,2,055-944-0660,거창전국대학연극제 2019,50103,
69,경상남도 거창군 거창읍 심소정길 39-36,36,A02,A0207,A02070200,1798646,15,20130306142512,http://tong.visitkorea.or.kr/cms/resource/06/2588806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2588806_image2_1.jpg,127.9263598180,35.6951331926,6.0,20190916134507,29285,2,055-940-8460,거창한마당대축제 2019,50126,
70,서울시청 광장(서울 중구 을지로 12),1,A02,A0207,A02070200,2613900,15,20190801153406,http://tong.visitkorea.or.kr/cms/resource/04/2613904_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2613904_image2_1.jpg,126.9787932340,37.5659098804,6.0,20190802090352,0,24,070-7575-2352,건강서울페스티벌 2019,,
71,서울특별시 중구 을지로36길 35,1,A02,A0207,A02070200,2557964,15,20180817111217,http://tong.visitkorea.or.kr/cms/resource/60/2557960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2557960_image2_1.jpg,127.0018689332,37.5650631700,6.0,20190918155118,1850,24,02-3396-4114,건어물맥주축제 2019,04547,
72,서울특별시 종로구 세종대로,1,A02,A0208,A02081300,2600788,15,20190503164403,http://tong.visitkorea.or.kr/cms/resource/93/2600793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2600793_image2_1.jpg,126.9747822252,37.5752198371,6.0,20190524143013,27,23,서울특별시 보행정책과<br>02-2133-2428,"걷자,도심보행길! 2019",03154,(세종로)
73,충청남도 공주시 고마나루길 90,34,A02,A0207,A02070200,2531702,15,20180117143143,http://tong.visitkorea.or.kr/cms/resource/45/2641145_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/45/2641145_image2_1.png,127.1075869625,36.4666363013,6.0,20191218171455,3567,1,1899-0088,겨울공주 군밤축제 2020,32535,(웅진동)
74,충청북도 제천시 의림대로14길 4 제천 시내 및 의림지 일원,33,A02,A0207,A02070200,2589238,15,20190122103954,http://tong.visitkorea.or.kr/cms/resource/68/2637668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2637668_image2_1.jpg,128.2112051410,37.1383347045,6.0,20191219092059,91,7,043-645-4997,겨울왕국제천 페스티벌 2020,27173,
75,대전광역시 서구 둔산대로 169,3,A02,A0207,A02070200,1072689,15,20100811105346,http://tong.visitkorea.or.kr/cms/resource/89/2613789_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2613789_image2_1.jpg,127.3880117687,36.3664721764,6.0,20190801135115,27338,3,042-330-3915,견우직녀 축제 2019,35204,(만년동)
