,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,homepage,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,tel,telname,title,zipcode
10,서울특별시 중구 명동8길 11,(명동2가),1,A04,A0401,A04010600,2498168,38,20170628153134,http://tong.visitkorea.or.kr/cms/resource/57/2498157_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/57/2498157_image2_1.JPG,"<a title=""새창 : 프리스비 홈페이지로 이동"" href=""http://www.frisbeekorea.com"" target=""_blank"">http://www.frisbeekorea.com</a>",126.98481498129999,37.563313067399996,6.0,20190318113343,"서울 중구 명동거리에 자리하는 프리스비 명동점은 지상 1~3층 규모의 애플 제품 전문 매장이다. 1층은 제품 시연이 가능한 판매장이고 2층은 애플 제품 교육장으로 활용하며, 3층은 AS센터로 운영한다. 1층 매장에는 CPU, iPAD, iPHONE 등 모든 종류의 애플사 제품을 판매한다. 모든 제품은 시연 가능하며, 매장 내 많은 직원들이 상주해 제품 관련 상담을 바로 받을 수 있다. 대부분의 직원들은 외국어가 가능하다. 다양한 전자기기 소품 및 액세서리도 함께 판매한다. 인케이스, 벨킨, 로지텍, 소니 등 브랜드가 자리하며 스피커, 케이스, 키보드, 마우스 등 다양한 제품을 취급한다. 2층 교육장에서 진행하는 프로그램은 애플사의 제품을 보다 전문적으로 활용할 수 있는 방법을 전한다. 프리스비 명동점은 연중무휴로 운영한다. 영업시간은 평일 오전 11시부터 오후 9시까지이며 일요일에는 오전 9시부터 오후 8시 30분이다. 단, 설날과 추석 당일은 오후 1시부터 8시까지다. <br>",24,,갈라 프리스비 명동점 이경수님,갈라 프리스비 명동점 [한국관광 품질인증/Korea Quality],04536
11,충청남도 홍성군 갈산면 갈산로120번길 10,,34,A04,A0401,A04010100,132041,38,20020418000000,,,"<a href=""http://tour.hongseong.go.kr/tour/sub05_03_04_04.do"" target=""_blank"" title=""새창 : 홍성전통시장 안내 페이지로 이동"">http://tour.hongseong.go.kr</a>",126.55122505959999,36.6029831743,6.0,20180313172523,"소규모 장시가 현재까지 유지되고 있으며, 서부의 수산물을 갈산주민에게 판매되고 있고 현재는 생필품과 잡화류를 공급하는 시장이 형성되어 있다.",15,041-634-8080,,"갈산장 (3, 8일)",32202
12,충청북도 음성군 감곡면 장감로132번길 22,,33,A04,A0401,A04010100,132406,38,20040223000000,,,,127.6391460878,37.1182042275,6.0,20181219154918,"충청북도 음성군 
감곡면 왕장리에 있는 재래 시장이다. 조선시대 충주목 거곡면 지역의 왕장리는 오늘날 
충청북도 음성군 감곡면 왕장리가 된다. 청미천을 경계로 충청북도 음성군 쪽을 음성 
장호원, 경기도 이천시 쪽을 이천 장호원이라고 부르고 있다. 과거에는 장이 열리는 
지역 명칭의 특성상 감곡장을 왕장장이라 칭하기도 하였다.<br>",6,,감곡시장 상인회,"감곡장 / 감곡시장 (3, 8일)",27604
13,충청남도 논산시 강경읍 옥녀봉로27번길 30-3,(강경읍),34,A04,A0401,A04010200,132519,38,20031117000000,,,,127.0153645321,36.1597837058,6.0,20180727130345,"1930년대 최대의 성시를 이룬 강경은 지리적으로 내륙 깊숙이 위치하여 해상과 육상
 교통의 요충지로서, 각종 수산물의 거래가 왕성하였으며, 전국 각처에서 강경의 젓갈
 을 구입하기 위해 성시를 이루었다. 현재 전국 최대의젓갈시장이 자라잡고 있으며 대
 형도매업소와 중소업소가 성업중으로 다양한 종류의 젓갈을 아주 저렴한 가격에 구입
 할 수 있다.
 젓갈은 어패류의 근육이나 내장에 소금을 첨가하여 자연 발효숙성시킨 것으로 무기질,
 단백질, 어지방, 아미노산 등이 함유되어 있으며, 새우젓과 멸치젓이 젓갈 생산량의 
 70% 이상을 차지하고 있으며 까나리액젓, 조개젓, 황석어 젓 등 다양한 각종 젓갈이 
 있으며 전통비법으로 제조되는 것이 강경젓갈의 특징이다. 강경젓갈은 영양분이 잘 
 보존된 상태에서 적당히 숙성 발효되어 진한 감칠맛으로 직접 먹을 수도 있고 김치 
 등의 부원료나 자연조미료로써, 널리 이용되고 있으며 소화흡수가 양호하고 영양적 
 가치가 매우 좋은식품이다. 강경에서는 재래식토굴이 아닌 현대화되고 과학적으로 시설된 영상 10-15℃ 정도를 
 유지 할 수 있는 저온창고에서 발효시킨다.
 발효기간은 대체적으로 3개월 정도 지나면 거의 발효가 된다. 이 기간은 우리선조들
 이 땅에 묻거나 서늘한 곳에서 100일 동안 발효시켜 백일주를 담그던 지혜를 상기하
 면 저온에서100일 동안의 발효기간은 과학적인 의미가 있다. <br>",3,041-745-1985,,강경젓갈시장,32935
14,경상북도 영덕군 강구면 강구시장1길 8-1,(강구면),35,A04,A0401,A04010100,132114,38,20021126000000,http://tong.visitkorea.or.kr/cms/resource/38/1801838_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1801838_image3_1.jpg,"<a href=""http://tour.gb.go.kr"" target=""_blank"" title=""경북나드리 홈페이지 새창"">http://tour.gb.go.kr</a>",129.3613142643,36.3684417821,6.0,20180221153831,"대게의 
집산지로 유명한 경상북도 영덕군 강구면에서 열리는 5일장으로, 강구버스터미널 
근처에서 장이 선다. 옛날에는 대게가 주거래 품목이었지만 강구항과 축산면의 대게마을을 
중심으로 주로 농산품과 생필품·해산물들이 거래되고 있다. 장날은 3·8·13·18·23·28일이며, 
50여 개의 점포가 있다.<br /><br />강구장은 강구항,&nbsp;삼사공원과 인접한곳으로 공원과 청정해역을 찾는 관광객들이 많다.  
 장날이 되면 생선회를 비롯한 신선한 생선들을 찾는 관광객으로 붐비고 있다.
 특히 동해안에서 잡히는 수산물중 전국적으로 이름난 영덕 대게의 주산지가 바로 이곳
 이다. 영덕대게는 다리마디의 생김새가 대나무와 흡사하여 대게라고 하며 지방질이 적
 어 담백하고 독특한 향미가 있어 관광객들이 선호하는 고급어종이다.<br>",12,054-730-6233,영덕군청 새마을경제과,"강구장 (3, 8일)",36458
15,서울특별시 서초구 신반포로 194,,1,A04,A0401,A04010600,132201,38,20031117000000,,,"<a href=""http://www.terminalsangga.com"" target=""_blank"" title=""새창: 강남고속터미널상가 홈페이지로 이동"">http://www.terminalsangga.com</a>",127.0071923683,37.5050868999,6.0,20181120102845,"강남고속터미널 터미널 혼수상가는 주로 침구, 커튼, 주단등을 파는 경부선 터미널 2층, 4층등을 통틀어
 말한다. 이 상가는 1982년부터 들어서기 시작했는데 현재 침구점은 250여 곳, 커튼전문점
 은 1백여곳이 있고, 별도 바느질하는 가공소도 40여 곳이 있다. 그 외 나머지 점포에서는
 주단, 한복, 수예품, 원단, 양복지 등 혼수관련제품을 판매한다.이 곳은 고급혼수 침구세트를 갖춰놓고 있지만 값은, 도매시세에 10%안팎의 마진을 남겨
 팔기 때문에, 시중보다 약 20%로 싸게 거래된다.
 이 때문에 터미널을 이용하는 지방상인들과 소비자들도 많이 찾아온다. 또한 이곳에서는
 고속버스로 전국 각지에 무료 배달 서비스를 해주기도 한다.<br>",15,02-533-2489,,강남고속터미널 혼수상가,06545
16,강원도 강릉시 유산로 60,(유산동),32,A04,A0401,A04010200,1756581,38,20121123140524,http://tong.visitkorea.or.kr/cms/resource/60/1947760_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1947760_image3_1.jpg,"<a href=""http://www.gnns.co.kr"" target=""_blank"" title=""새창 : 강릉농산물도매시장 홈페이지로 이동"">http://www.gnns.co.kr<br></a>",128.9182791371,37.7366791739,6.0,20181121112948,"(주)강릉농산물도매시장은 강원도 강릉시 유산로 
60에 위치하고있다. 지난 1999년 11월 개장하여 영동지역 농산물 물류유통의 
중심으로 자리매김해왔다. 농업인이 땀흘려 생산한 농산물을 전 품목 상장경매를 
통하여 공정거래를 선도하고 농업인 실익증대에 노력하고있다.<br /><br />강릉농산물도매시장에서는 
시민의 안전한 먹거리 제공을 위해 도매시장에 반입되는 농산물에 대해 1주일에 간이속성검사 
2회(12품목), 정밀검사 1회(6품목) 잔류농약검사를 실시하고 있다. 검사결과 부적합으로 
판정되어 출하된 농산물은 전량 폐기되며, 생산자는 벌칙으로 1개월간 우리 도매시장을 
비롯해 전국 공영도매시장으로 출하를 할 수 없으며, 이를 어겨 출하할 경우 고발 
조치하고 있다. 현재, 강릉농산물도매시장의 농산물안전성검사(정밀검사)는 강릉시 
보건환경연구원에 의뢰 하여 실시하고 있다.<br>",1,033-646-4654,(주)강릉농산물도매시장,강릉 농산물도매시장,25612
17,강원도 강릉시 율곡로 2831,(옥천동),32,A04,A0401,A04010200,132772,38,20070424000000,http://tong.visitkorea.or.kr/cms/resource/78/1162078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1162078_image3_1.jpg,,128.8979247902,37.7568681088,6.0,20181121163505,"강릉동부시장은 1977년 개설된 상가건물형의 중형시장으로 주 취급품목은 메밀적(메밀맷돌부치기), 감자옹심이, 야채, 건어물 등을 취급한다.
&nbsp;강릉시의 상설시장에서 행해지고 있는 거래형태는 대부분 소매형태이다. 
소매거래는 교통이 편리하고 각종 상품이 다양하게 구비되어 있는 중앙시장이다. 동부시장은 지상 4층, 지하 1층의 콘크리트 건물이다. 1층에는 잡화상과 
슈퍼마켓·간이주점·식당 등이, 2층에는 생선·채소류상점·떡과 식용유를 만들어 판매하는 편의품 위주의 상점 등이 있으며, 3층과 4층에는 
98세대의 아파트로 상인들이 많이 거주하고 있다.<br>",1,,강릉 동부시장 번영회,강릉 동부시장,25531
18,강원도 강릉시 임영로155번길 6,(용강동),32,A04,A0401,A04010200,132773,38,20070424000000,http://tong.visitkorea.or.kr/cms/resource/06/1162106_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1162106_image3_1.jpg,,128.89085603770002,37.7550709566,6.0,20181121162517,"서부시장은 1982년 
노후된 구 시장 건물을 철거하고 재개발하여 아파트와 시장이 공존하는 복합건물로 
형성되었다. 그러나 시장의 상세가 부진하고 시장 건물만 콘크리트 구조일 뿐, 내부시설은 
근대화 되지 않았다. 그리하여, &nbsp;재래시장의 활성화를 위해 2004년에서 2005년까지 
환경 개선 사업을 시행하였다. 전기·통신·소방·소화·가스·기계설비 
및 건축공사를 시행하였으며 서부시장번영회를 중심으로 활성화 노력이 계속되고 있다.<br>",1,033-648-9136,강릉 서부시장번영회,강릉 서부시장,25528
19,강원도 강릉시 주문진읍 시장1길 4-1,,32,A04,A0401,A04010200,132774,38,20070424000000,http://tong.visitkorea.or.kr/cms/resource/90/1162090_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/1162090_image3_1.jpg,"<a href=""https://www.gn.go.kr/www/contents.do?key=573"" target=""_blank""title=""주문진 수산시장 홈페이지로 이동"">https://www.gn.go.kr</a>",128.82796028209998,37.890801238499996,6.0,20180226110912,"강원도 강릉시에 있는 주문진수산시장은 오징어잡이로 유명한 주문진항을 끼고 1936년부터 형성된 재래시장이다. 
주문진수산시장은 종합시장, 건어물시장, 회센터 등을 포함한 다양한 형태의 상가와 연계되어 있는 동해안 최대 규모의 어시장이자 국내/해외관광객이 많이 찾고 있는 전통시장이다. 동해안에서 갓 잡은 오징어를 비롯한 고등어, 명태, 꽁치, 게 등 각종 신선한 수산물과 건어물을 취급하며, 시중가보다 저렴한 가격에 구입할 수도 있고 동해바다의 느낌이 묻어있는 싱싱한 회를 바로 맛볼 수 있다. <br>",1,033-661-7302,,강릉 주문진수산시장,25413
20,강원도 강릉시 주문진읍 구시장길 8-1,,32,A04,A0401,A04010200,132775,38,20070502000000,http://tong.visitkorea.or.kr/cms/resource/61/1947761_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1947761_image3_1.jpg,,128.8268492574,37.8912511644,6.0,20181121162359,"강릉주문진종합시장은 5,761㎡대지와 70여개의 점포가 있으며 식품, 의류, 잡화, 수산물, 농특산물 등을 판매하고 있다.",1,033-662-2180,강릉 주문진종합시장 상인회,강릉 주문진종합시장,25413
21,강원도 강릉시 금성로 21,,32,A04,A0401,A04010200,132771,38,20070423000000,http://tong.visitkorea.or.kr/cms/resource/60/1864960_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1864960_image3_1.jpg,"<a href=""http://www.gncmarket.com"" target=""_blank"" title=""새창 : 강릉중앙시장 홈페이지로 이동"">http://www.gncmarket.com</a>",128.89858038309998,37.7537518153,6.0,20191022132103,"강릉시 성남동 일대에 위치한 중앙시장은 1980년 1월 18일부로 등록개설된 강릉시내 재래식 공설시장으로서 동쪽으로 동부시장, 서쪽으로 서부시장 다음으로 세 번째 개장되어 핵심 유통시장기능을 100% 발휘하며 성업 중에 있다.

시장의 구성은 종합 공설 시장상가, 축협, 농협 마트, 개별상가, 점포, 유흥점 등이 밀집해 있고, 노점상들이 골목길, 도로변에 형성되어 사계절 지역특산물이 거래되는 등 유통기능이 활성화 되어 있으며 중앙시장의 주요 고유특성은 지역 향토성을 띄고 특산물의 거래가 활발 하며 강릉 도심 내 인구는 물론 동해안 농어촌지역 인구도 중앙시장을 많이 찾고 있다.

그리고 1년에 한번 강릉 단오제 행사가 중앙시장주변 남대천 일대 단오장에서 약 1주일정도  거행될 경우 전국에서 각종 품목이 모여드는 영동중심의 전통 재래시장이다.",1,033-648-2285,(사)중앙시장번영회,강릉 중앙시장,25543
22,강원도 강릉시 경강로 2668,(견소동),32,A04,A0401,A04010900,2029545,38,20150917091159,http://tong.visitkorea.or.kr/cms/resource/50/2029550_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2029550_image2_1.jpg,"<a href=""http://www.inkfish.co.kr"" target=""_blank"" title=""새창 : 강릉교동건어물 홈페이지로 이동"">http://www.inkfish.co.kr</a>",128.9501752158,37.7705619892,6.0,20191227145810,"강릉교동건어물은 강릉에서 40여년간 건어물을 건조 및 도,소매한 업체로써, 강릉,주문진,속초,거진등 영동권일대에 건어물을 납품하는 업체이다. 전국 (구)철도청 홍익회에 강릉시장 추천상품 강원도 대표 마른오징어를 납품했던 우수업체 이다. 강릉교동건어물 옥천점,안목점 두 군데의 매장을 운영하고 있으며 전체 고객의 80% 이상이 강릉시민일정도로 제품을 믿고 구매할 수 있는 건어물업체이다. 안목해수욕장내 강릉커피거리(강릉항입구)에 위치하고 있다. <br>",1,033-651-1050,유동수,강릉교동건어물,25556
23,전라남도 강진군 대구면 청자촌길 33,,38,A04,A0401,A04010700,132469,38,20040130000000,http://tong.visitkorea.or.kr/cms/resource/39/1971539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1971539_image3_1.jpg,,126.8009225049,34.5086752621,6.0,20190219154912,강진군고려청자사업소은 강진청자자료박물관 내에 위치하고 있으며 고려청자를 취급하고 있다.,1,061-432-9831,강진 고려청자사업소,강진 고려청자사업소,59263
24,전라남도 강진군 대구면 청자촌길 20-16,,38,A04,A0401,A04010700,132467,38,20040218000000,http://tong.visitkorea.or.kr/cms/resource/63/2500263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2500263_image2_1.jpg,www.청자.kr,126.8011891925,34.5068393609,6.0,20180309164706,"도요지방향으로 위치한 강진탐진청자는 도자기제작 40년 경력의 강진청자명인1호, 전라남도지정 공예명장3호 김경진명장 그리고 온 가족이 함께 오랜 역사를 가진 고려청자의 전통을 계승하는 동시에 친환경 청자의 대중화와 세계화에 힘쓰고 있다.<br />
고려청자재현품, 청자, 친환경 생활식기, 관광기념품 등 다양한 품목을 제작, 판매하고 있으며 모두 수작업으로 만들기 때문에 규격의 차이가 있어 똑같은 제품은 단 하나도 없다는 것이 특징이다.",1,061-432-7582~3,김보미,강진 탐진청자,59263
25,전라남도 강진군 강진읍 시장길 17-14,,38,A04,A0401,A04010100,132051,38,20020423000000,http://tong.visitkorea.or.kr/cms/resource/44/1971544_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1971544_image3_1.jpg,,126.774177222,34.6403183885,6.0,20191226151012,"강진군은 기후풍토와 지형적으로 수산물이 풍부한 곳인데, 특히 조기, 갈치, 김, 조개류 등의 산출이 많다. 이 중에서도 조개류로서  바지락과 고막은 이곳의 특산물로 손꼽히고 있다. 또한, 이것들은 강진의 장터에서 쉽게 볼 수  있는 것이다. 특히,강진만 일대에서는 바지락과 고막이 양식되고 있는데, 이 일대의 바다는 갯벌이 많아 바지락 양식의 천혜적인 최적지로 알려져 있다.

'강진 장어' 또한 오래 전부터 이름나 있는데, 특히 탐진강 하구쪽은 수심이나 수온 등이 장어가 서식하기에 아주 적합한 곳으로서 이 일대에서 잡히는 장어맛은 일품이다.",1,061-433-5513,강진시장 상인회,"강진시장  (4, 9일)",59231
26,전라북도 임실군 강진면 호국로 14-12,,37,A04,A0401,A04010100,132291,38,20020418000000,,,,127.1609430452,35.52905246,6.0,20191226150930,"강진시장은 임실→순창 국도(30호) 동쪽으로 접해 있으며, 대지 2천평에 시장건물 27동에 200여 점포가 있으며,  장날엔 청웅, 덕치, 하운암 및 정읍시 산내면 일부 등 6천여 주민이 이용하는 시장이다.

일제시대 중반부터 시장이 형성되어 섬진강댐이 건설될 무렵 외지인의 이주로 80년대말까지 성황을 이루었으나 이제는 우시장, 대장간은 없어도 섬진강 사람들의 쉼터로 자리하고 있다.",10,,,"강진시장 (2, 7일)",55939
