,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,tel,telname,title,zipcode,homepage
10,경기도 가평군 상면 둔덕말길 232,(상면),31,A03,A0302,A03020700,131810,28,20041013000000,http://tong.visitkorea.or.kr/cms/resource/79/1956079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1956079_image3_1.jpg,127.3102979474,37.8005691484,6.0,20180806154030,"가평베네스트골프클럽은 가평 개주산 자락 해발 400미터에 위치해 있다. 자연지형을 최대한 살려 섬세한 디자인을 바탕으로 메이플, 버치, 파인 3개의 코스로 구성되어 있으며, 매 홀마다 세계적인 설계자 잭 니클라우스의 열정과 경륜을 느낄 수 있다. (회원제 골프장)<br>",1,,가평베네스트 골프클럽,가평베네스트 골프클럽,12443,"<a href=""http://www.golfsamsung.com/"" target=""_blank"" title=""새창 : 가평베네스트 골프클럽 홈페이지로 이동"">http://www.golfsamsung.com/</a>"
11,경기도 가평군 상면 깃대봉길 5-20,(상면),31,A03,A0302,A03021400,131520,28,20031216000000,http://tong.visitkorea.or.kr/cms/resource/88/531488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/531488_image3_1.jpg,127.40237142139999,37.7554760816,6.0,20190829145730,"경기도 가평군 상면 덕현리에 위치한 가평사계절썰매장은 인근 조종천과 백옥 같은 계곡이 즐비한 곳으로 자연과 더불어 조화를 이루며 여름에는 물썰매장, 겨울에는 눈썰매장을 운영하여 아이들에게 어린 시절의 추억을 만들어 준다. 9,780㎡의 넓은 부지면적에 조성된 사계절썰매장의 주요시설은 초급용/ 중급용의 슬로프와 수평보행기(무빙워커)가 있고 매점 및 식당의 휴게시설과 남녀 탈의실 및 샤워실, 어린이/일반 야외 수영장, 그늘막 4동 등의 부대시설이 마련되어 있다. 가평군 사계절 썰매장은 수도권 유일의 가족 레저 체험공간의 장소를 제공한다.<br>",1,,,가평사계절썰매장,12446,"가평사계절썰매장 <a href=""http://www.gp4s.co.kr"" target=""_blank"" title=""새창 : 가평사계절썰매장 홈페이지로 이동"">http://www.gp4s.co.kr</a>"
12,경상남도 통영시 욕지면 갈도길,(욕지면),36,A03,A0303,A03030600,131091,28,20030528000000,,,128.1855223235,34.565456425,6.0,20180413111402,"통영시 욕지면 서남단 끝에 있는 갈도는 철마다 다양한 대형 어종의 낚시터로 예전부터 낚시꾼들의 사랑을 한몸에 받던 곳이다. 봄에는 볼락꾼들이 밤을 지새우던 곳이고 여름에는 참돔·돌돔·농어의 일급 낚시터다. 늦가을부터는 대형 감성돔의 겨울나기 장소로 알려져 있다.
 통영에서 직선거리로 45km 떨어진 경상남도 최남단의 섬으로 봄에는 주로 볼락, 여름과 가을에는 혹돔, 돌돔, 농어 등이 낚이고 12월에서 이듬해 3월까지는 감성돔이 낚인다.<br />
  * 소재지 - 경남 통영시 욕지면<br>",17,055-650-4553,통영시 문화예술관광과,갈도,53100,"섬여행 갈도페이지 <a title=""새창 : 통영 섬여행 갈도 페이지로 이동"" href=""http://www.badaland.com/01378/01926/01391.web?idx=1334&amp;amode=view&amp;
"" target=""_blank"">http://www.badaland.com</a>"
13,경상남도 통영시 욕지면 갈도길,(욕지면),36,A03,A0303,A03030600,131578,28,20020703000000,http://tong.visitkorea.or.kr/cms/resource/83/822483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/822483_image3_1.jpg,128.1780648071,34.5588875823,6.0,20180502112100,"수심이 다양해 여러가지 기법을 구사할 수 있지만 릴찌낚시가 최고다. 바다속 중간중간에 3~4m크기의 여가 있어 감성돔과 볼락이 잘 낚인다.    
  <br />* 소재지 - 경남 통영시 욕지면 갈도 남쪽 홈통<br>",17,,갈도 남쪽 홈통,갈도 남쪽 홈통,53100,"통영 섬여행 <a href=""http://www.badaland.com/"" target=""_blank"" title=""새창 : 통영 섬여행 홈페이지로 이동"">http://www.badaland.com</a>"
14,인천광역시 동구 보세로 4,(만석동),2,A03,A0303,A03030600,131845,28,20060412000000,,,126.6231723099,37.4875209992,6.0,20180611163908,"바다낚시의 장점은 우선 민물낚시와 달리 한 곳에서 기다리지 않고 잘 잡히는 곳을 찾아 이동이 가능하기 때문에 기다리는 지루함이 없다는 것이다. 그리고 어장이 무궁무진하기 때문에 시간만 넉넉하다면 원하는 만큼 잡을 수도 있다. 낚시와 더불어 주변경관을 구경할 수 있는 덤도 주어진다. <br />
 처음부터 배를 빌려 나가도 좋지만 경험 없는 초보자라면, 무턱대고 배를 빌려 나가기보다는 유람선을 이용하는 것이 낫다. 장거리 우럭낚시의 경우 개인 출조요금을 받으며 대선료와 잡은 고기를 즉석에서 회를 쳐주고 매운탕과 점심식사, 커피 등을 제공하는 금액이 포함되었다.<br />
 초보자의 경우, 낚시 지도까지 해준다. 낚시시간은 계절에 따라 조금씩 다르지만 보통 오전 5시에서 6시 사이이다. 돌아오는 시간은 17시이다.<br />
<br /> 초보자는 낚시 도구를 임대해 주기도 하며 단체로 낚시를 즐기거나 동호회, 친목회 등 인원이 많다면 배를 빌리는 것이 더 저렴하다. <br>",5,032-765-4191,갈매기배낚시,갈매기배낚시,22501,"갈매기배낚시 <a href=""http://www.sehongnet.com"" target=""_blank"" title=""새창 : 갈매기배낚시 홈페이지로 이동"">http://www.sehongnet.com</a>"
15,경상북도 경주시 감포읍 감포항구길,(감포읍),35,A03,A0303,A03030600,131083,28,20020709000000,http://tong.visitkorea.or.kr/cms/resource/55/1201055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1201055_image3_1.jpg,129.5060068276,35.8052138295,6.0,20180601164431,"벵어돔과 망상어가 일정한 포인트의 구별없이 주로 낚이는데, 1월 중순부터는 숭어가 낚이고 학공치도 씨알이 굵다. 남쪽(200m)과 북쪽(300m)에 두개의 방파제가 놓여 있는데, 처음 찾는 이들은 시간을 살펴 밀물에는 남쪽, 썰물에는 북쪽 방파제를 찾는 것이 요령이다. 북쪽 방파제 옆 갯바위 (송대 끝)에서도 9월에서 11월까지 감성돔 낚시를 자주하며 씨알이 굵게 낚인다. 파도가 약간 있는날 조황이 두드러진다. 파도가 심할 때는 내항쪽 3m 수심을, 약할때는 4m안팍의 수심을 노린다. 두 방파제 모두 마리수는 비슷하며, 벵어돔의 경우 북방파제가 약간 우세하다.<br>",2,054-779-8003,감포읍사무소,감포방파제,38125,"경주 문화관광 <a href=""http://guide.gyeongju.go.kr/deploy/"" target=""_blank"" title=""새창에서 열림"">http://guide.gyeongju.go.kr</a>"
16,경상북도 봉화군 명호면 명재로 16,(명호면),35,A03,A0303,A03030800,131968,28,20070601000000,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image3_1.jpg,128.88987253780002,36.8445729157,6.0,20180510112005,"강나루래프팅에서는 인간의 발길이 미치지 않는 계곡의 장엄함과 신비스런 자태를 래프팅 보트에 몸을싣고 감상할 수 있다. 살아 숨쉬는 대자연의 경이로움에 감탄사가 절로 나온다.
 래프팅은 자연과 더불어 적극적 사고와 진취적 기상을 기르고 호연지기 정신과 공동체 의식을 함양하고, 체력단련을 겸할 수 있는 전천후 수상체험 및 모험 레포츠이다.<br>",8,054-674-0567,강나루래프팅,강나루래프팅,36254,
17,경기도 광주시 새말길 353,(목동),31,A03,A0302,A03020700,131674,28,20030522000000,,,127.182357563,37.386939867399995,6.0,20180309133425,"총 18홀 72파 규모의 코스는 기존의 벌칙형에서 과감히 탈피한 전략형 HOLE로 구성되어 있다. 플레이어의 구상대로 성공했을 때는 희열을, 실패했을 때는 재도전의 의욕을 불러 일으키는 도전해볼 만한 현대식 전략형 골프코스이다.<br /> <br />

HOLE 안에 구성된 벙커와 연못, 적재적소에 군식으로 심어진 전략수들이 어우러져 빚어낸 수채화 같은 풍광은 골퍼들에게 아늑하고 편안한 휴식처가 되어 주고 있다. 아침, 저녁으로 역광이 되는 HOLE이 한 개도 없어 눈의 피로를 덜어주며 하단에 조성된 대형 연못에 전 코스의 3분의 1에 해당되는 6개의 HOLE이 연해져 있고, 부지 안 대부분의 위치에서 이 연못이 조망되어 운치를 더해 주고 있다.<br /> <br />

청정지구의 맑고 수려한 자연속에서 나무와 유리, 돌이 조화를 이루어 만들어 낸 클럽하우스는 품위 있는 외관만큼 실내 공간도 기능별로 다양하게 구성되어 있다. 클럽 전체 코스의 아름다운 경관을 바라보며 식사를 즐길 수 있는 레스토랑, 한차원 격을 높인 서구풍의 세련된 인테리어, 넓은 로비, 최신식 사우나 등 고급 사교장으로서의 완벽한 시설을 갖춘 명사들의 사교의 전당이 될 것이다.<br>",5,031-719-0300,강남 300 컨트리클럽,강남 300 컨트리클럽,12770,"<a href=""http://www.kn300.com"" target=""_blank"" title=""새창 : 강남 300 컨트리클럽 홈페이지로 이동"">http://www.kn300.com</a>"
18,서울특별시 강남구 영동대로131길 26,(청담동),1,A03,A0302,A03020200,131139,28,20030527000000,http://tong.visitkorea.or.kr/cms/resource/23/2462023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2462023_image3_1.jpg,127.0541432145,37.520449848,6.0,20180124134538,"청담근린공원 인근에 위치한 강남청소년수련관은 서울YWCA에서 운영하고 있으며, 청소년들을 위한 다양한 프로그램들을 진행하고 있다.<br>",1,02-544-9725,강남청소년수련관,강남청소년수련관,06073,"<a href=""http://www.gangnamyc.or.kr"" target=""_blank"" title=""새창 : 강남청소년수련관 홈페이지로 이동"">http://www.gangnamyc.or.kr</a>"
19,서울특별시 강동구 천호대로206길 87,(둔촌동),1,A03,A0302,A03021700,1017568,28,20100510102214,http://tong.visitkorea.or.kr/cms/resource/69/2030469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2030469_image3_1.jpg,127.15406979379999,37.5358637478,6.0,20180709112651,"강동그린웨이 가족캠핑장은 강동구 도심속 일자산자연공원 숲속에 위치하여 자연훼손을 최소화하고 지리적 특성을 그대로 살린 자연친화적인 가족캠핑장이다. <br />  <br /> 

※ 일자산 자연공원내(길동생태공원~허브천문공원 옆) <br /><br /> 
※ 본 캠핑장은(관광진흥법에 의거) 관광사업 등록 캠핑장임.<br>",2,02-2045-7880,강동그린웨이 가족캠핑장,강동그린웨이 가족캠핑장,05357,"강동그린웨이 가족캠핑장 <a href=""http://www.gdfamilycamp.or.kr"" target=""_blank"" title=""새창 : 강동그린웨이 가족캠핑장 홈페이지로 이동"">http://www.gdfamilycamp.or.kr</a>"
20,서울특별시 강동구 양재대로138길 41,(명일1동),1,A03,A0302,A03020200,131454,28,20040227000000,http://tong.visitkorea.or.kr/cms/resource/38/1868038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1868038_image3_1.jpg,127.14622289040001,37.5497508824,6.0,20180117144456,"강동청소년회관은 청소년들의 학교특별활동(CA), 문화활동, 교육활동, 생활체육활동, 상담활동과 자발적으로 참여하는 각종 동아리 활동 및 봉사활동으로 미래사회의 조화, 소통, 변화를 이끌어 가는 훌륭한 청소년으로 성장시키는 활동의 장소이다.<br>",2,02-3426-6211~3,강동청소년회관,강동청소년회관,05292,"<a href=""http://kdyouth.or.kr"" target=""_blank""  title=""새창 : 강동청소년회관 홈페이지로 이동"">http://kdyouth.or.kr</a>"
21,강원도 강릉시 수리골길 76,(교동),32,A03,A0302,A03020300,2525011,28,20171222155616,,,128.896913151,37.7768796631,6.0,20190117133651,"강릉올림픽파크는 강릉시 교동 문화체육시설단지 일대를 2018 평창동계올림픽 대회 기간동안 영문과 국문 등 쉽게 이해할 수 있고 대회 이후 계속 사용될 수 있는 명칭을 고려하여 IOC(국제올림픽위원회)측과 협의하에 새롭게 명명한 것이다. 강릉종합운동장, 강릉문화예술관, 강릉컬링센터를 비롯한 신설 경기장인 강릉아이스아레나, 강릉하키센터, 강릉스피드스케이팅경기장 등이 위치하고 있다. 2018 평창동계올림픽 빙상 종목 경기 대다수가 이곳에서 개최된다.<br>",1,,,강릉 올림픽파크,25472,
22,강원도 강릉시 강동면 정동역길 17,(포남동),32,A03,A0302,A03022700,1012554,28,20100430134533,http://tong.visitkorea.or.kr/cms/resource/28/1947328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1947328_image3_1.jpg,129.0326591356,37.6914477475,6.0,20180213111655,"강릉 바우길은 백두대간에서 경포와 정동진까지 산맥과 바다를 함께 걷는 총연장 150km, 10개의 구간으로 이어진 길이다. 바우는 강원도 말로 바위를 뜻한다. 강원도와 강원도 사람을 친근하게 부를 때 감자바우라고 부르듯 강릉 바우길 역시 강원도의 산천답게 자연적이며 인간친화적인 트레킹 구간이다. 바우길에는 강원도의 자랑과도 같은 금강 소나무 숲이 70% 이상 펼쳐져 있어 바우길을 걷는 것은 트레킹과 삼림욕을 동시에 하는 일이다. 파도를 밟고 걷는 기분의 해변길 조차 끝없는 소나무 숲길 사이로 이어지고, 대관령 계곡길을 걸을 때면 그윽한 솔향기가 우리의 온몸을 감싼다. 하늘을 찌를 듯한 금강소나무숲과 우리나라 최대의 참나무숲이 기다린다. <br /><br />[강릉 바우길 9구간] 헌화로 산책길은 14km에 이른다. 세계에서 바다와 기차역이 가장 가까운 정동진역에서 마을의 산길을 한바퀴 돌아 다시 지그재그 길을 따라 심곡 바다로 나간다. 6.25가 터졌을 때 난리가 났는지도 몰랐다는 소리가 전해져올 만큼 예전에는 아주 깊숙이 감추어진 마을인데 지금은 이곳의 헌화로 산책길이 너무도 유명해다. 방파제 너머로 달려온 파도가 길을 흥건히 적신다. 길은 마치 부채끝처럼 해변을 동그랗게 돌아간다. 
사랑하는 사람과 함께 걷다보면 정말 이곳 해안단구 절벽 위의 꽃이라도 꺾어 바치고 싶어지는 곳이다.<br>",1,033-645-0990,강릉 바우길,강릉바우길(9구간),25631,"<a href=""http://www.baugil.org"" target=""_blank"" title=""새창 : (사)강릉바우길 홈페이지로 이동"">http://www.baugil.org</a>"
23,강원도 강릉시 강동면 임곡로 1-17,(강동면),32,A03,A0302,A03021100,131581,28,20030410000000,http://tong.visitkorea.or.kr/cms/resource/21/1813421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1813421_image3_1.jpg,128.9806293917,37.7266398851,6.0,20180517165250,강릉승마장은 국내 최고의 실내 승마장으로서 98년 2월에 안인진리에 오픈하여 강릉 지역의 승마대중화를 위하여 노력하고 있다.<br>,1,033-644-6264,강릉승마장,강릉승마장,25626,"강원도승마협회 <a href=""http://gwef.modoo.at/"" target=""_blank"" title=""새창 : 강원도승마협회 홈페이지로 이동"">http://gwef.modoo.at/</a>"
