,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,firstimage,firstimage2
20,경기도 양평군 용문면 용문산로 337,,31,B02,B0201,B02010700,942523,32,20100202125734,127.6019460659,37.5258897391,6.0,20190708174029,16383,19,031-771-5180,가시버시펜션,12510,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg
21,강원도 삼척시 노곡면 중마읍길 15-63,,32,B02,B0201,B02010700,2407263,32,20160901141633,129.1751596357,37.2599474612,6.0,20160901141633,736,4,033-573-2120,가시오가피마을 홍보관,25941,,
22,충청남도 예산군 덕산면 신평1길 14,,34,B02,B0201,B02010100,142829,32,20031222000000,126.6624681659,36.6933774685,6.0,20181224161650,32214,11,041-337-0101~9,가야관광호텔,32406,,
23,전라북도 군산시 현충로 84,(나운동),37,B02,B0201,B02010900,2569211,32,20181123105811,126.6894405034,35.9627005996,,20190118104412,13,2,063-461-3003,가야파크,54141,,
24,경상북도 성주군 수륜면 가야산식물원길 52,,35,B02,B0201,B02010100,136485,32,20030612000000,128.1426489055,35.8029970838,6.0,20181220170341,39207,10,054-931-3500,가야호텔,40063,http://tong.visitkorea.or.kr/cms/resource/78/1399678_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1399678_image3_1.jpg
25,충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,B02,B0201,B02011600,2622110,32,20191001154648,127.4055223158,36.7351413243,,20191114092508,0,10,010-9935-2129,가영당(전덕재 한옥),28105,,
26,전라북도 전주시 완산구 한지길 68-13,(풍남동3가),37,B02,B0201,B02011600,2593271,32,20190325141742,127.1532917977,35.8170640681,,20190524165129,3,12,010-6345-5267,가은채 [한국관광 품질인증/Korea Quality],55041,,
27,전라북도 전주시 완산구 한지길 100-20,(풍남동3가),37,B02,B0201,B02011600,2593272,32,20190325143553,127.1535029304,35.8155253577,,20190524164829,9,12,010-6335-5267,가은채2 [한국관광 품질인증/Korea Quality],55041,,
28,강원도 평창군 봉평면 흥정계곡길 72,,32,B02,B0201,B02010700,2376711,32,20160406132558,128.3519002081,37.6272975840,6.0,20190220142544,3190,15,010-5213-3200,가을동화펜션,25300,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG
29,강원도 영월군 무릉도원면 엄둔길 529-1,,32,B02,B0201,B02010700,899898,32,20091216141259,128.2304336171,37.3396174204,6.0,20191223154929,23262,8,033-374-9466,가자화이트펜션,26201,http://tong.visitkorea.or.kr/cms/resource/38/1843038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1843038_image3_1.jpg
30,경상남도 남해군 삼동면 죽방로 495,,36,B02,B0201,B02010700,1351349,32,20110804155937,127.9675765215,34.8169300517,6.0,20190911093900,53021,5,055-867-0550,가족사랑바다체험펜션,52443,,
31,경기도 가평군 북면 가화로 2369-19,,31,B02,B0201,B02010900,1979670,32,20141226094946,127.4766116592,37.9524878464,6.0,20190829152353,4897,1,031-581-2256~7,가평 하이랜드,12401,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG
32,강원도 춘천시 신북읍 신샘밭로 749,(신북읍),32,B02,B0201,B02010900,2397182,32,20160808092359,127.7918529575,37.9324654867,6.0,20161019174856,949,13,033-242-2242,가향모텔,24204,,
33,울산광역시 울주군 상북면 등억알프스로 607-15,,7,B02,B0201,B02011000,2570940,32,20181129103758,129.0560529115,35.5671043874,,20190124132905,15,5,,간월산 자연휴양림,44952,,
34,강원도 원주시 지정면 소금산길 125,,32,A03,A0302,A03020200,1850768,32,20131011141228,127.8230778676,37.3676565814,6.0,20180403144657,7596,9,033-732-9954,간현청소년수련원,26359,,
35,경상남도 고성군 삼산면 공룡로 2681,,36,B02,B0201,B02011000,2579415,32,20181218102351,128.3096794266,34.9448967643,6.0,20190117134919,9,3,010-4529-8131,갈망개민박,52958,,
36,경상남도 고성군 고성읍 이당8길 237,,36,B02,B0201,B02011000,2579423,32,20181218102433,128.2635715302,34.9757619285,6.0,20190117134940,9,3,010-8546-0286,갈모봉 참새미골 황토집 민박,52933,,
37,경상남도 고성군 고성읍 이당5길 149-21,,36,B02,B0201,B02010700,2579457,32,20181218104310,128.2677822725,34.9758092205,6.0,20190117135005,14,3,010-2779-2212,갈모봉 힐링스테이,52933,,
38,강원도 양양군 서면 구룡령로 1103-25,,32,B02,B0201,B02010900,232304,32,20071012000000,128.5042112321,37.9083929237,6.0,20190318111723,33104,7,033-673-7111,갈천훼밀리리조트[한국관광 품질인증/Korea Quality],25040,http://tong.visitkorea.or.kr/cms/resource/87/2557287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2557287_image3_1.jpg
39,경상남도 고성군 상리면 상정대로 909-16,,36,B02,B0201,B02011000,2579474,32,20181218104414,128.2484170360,34.9857577604,6.0,20190117135029,8,3,010-8820-5299,감치재민박,52953,,
40,강원도 영월군 영월읍 선돌길 83-9,,32,B02,B0201,B02010700,1122064,32,20101103130629,128.4347505556,37.1788092476,6.0,20181217162546,37007,8,033-373-1139,강가에 하얀집 펜션,26226,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg
41,강원도 홍천군 북방면 굴지강변로 281,,32,B02,B0201,B02010700,940259,32,20100127150815,127.7831942237,37.6915377700,6.0,20181211131808,18357,16,033-433-8309,강가의성,25116,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg
42,강원도 정선군 북평면 졸드루길 31-57,,32,B02,B0201,B02010900,2398168,32,20160809135223,128.6366687230,37.4518927338,6.0,20190318095208,3876,11,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality],26100,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg
43,경상남도 통영시 동충4길 56,(항남동),36,B02,B0201,B02011100,2575011,32,20181207130915,128.4241610409,34.8418797816,,20190115155959,16,17,010-9287-8001,강구안게스트하우스,53054,,
44,서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,B02,B0201,B02011100,2574118,32,20181205160516,127.0301236613,37.5034291706,,20191014101736,0,1,010-2746-7882,강남스테이힐(Gangnam Stay Hill),06127,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg
45,전라남도 목포시 동부로5번길 3-1,1~3층 (용당동),38,B02,B0201,B02010900,2581471,32,20181221110031,126.3949289075,34.8043131409,,20190116094622,17,8,061-272-1120,강남장,58652,,
46,강원도 강릉시 주문진읍 신리길 2,2층,32,B02,B0201,B02011000,2626937,32,20191018095213,128.8260774028,37.8816633714,,20191114112731,0,1,010-5370-166,강다방 게스트하우스,25424,,
47,전라북도 전주시 완산구 태조로 26-24,(풍남동3가),37,B02,B0201,B02011600,2570638,32,20181128140659,127.1519253061,35.8150087222,,20190902104909,0,12,010-6743-0222,강령전,55042,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2568683_image2_1.JPG
48,강원도 강릉시 사천면 해안로 904-22,,32,B02,B0201,B02011000,2626916,32,20191018093952,128.8758521976,37.8330588607,,20191114113526,0,1,010-3348-4912,강릉 지중해펜션,25440,,
49,강원도 강릉시 용지각길 19,(포남동),32,B02,B0201,B02010900,2398102,32,20160809102447,128.9056239515,37.7615677151,6.0,20190528084727,4608,1,010-5919-0050,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],25548,,
50,강원도 강릉시 경강로2103번길 17,(임당동),32,B02,B0201,B02010900,2038173,32,20151105101608,128.8954528054,37.7564042254,6.0,20190318101010,6491,1,010-9299-7199,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],25532,http://tong.visitkorea.or.kr/cms/resource/57/2576657_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2576657_image3_1.jpg
51,강원도 강릉시 운정길 63,(운정동),32,B02,B0201,B02011600,1989501,32,20150225161900,128.8846278304,37.7871087953,6.0,20190807094744,19496,1,"033-646-3270, 010-3479-3270",강릉선교장[한국관광 품질인증/Korea Quality],25464,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg
52,강원도 강릉시 주문진읍 동해대로 4940,(주문진읍),32,A03,A0302,A03020200,587289,32,20080716142404,128.8123942726,37.9149286939,6.0,20180406162102,35726,1,033-662-0911,강릉시 청소년 해양수련원,25404,http://tong.visitkorea.or.kr/cms/resource/94/598094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/598094_image3_1.jpg
53,강원도 강릉시 죽헌길 114,(죽헌동),32,B02,B0201,B02011600,2531222,32,20180111130743,128.8795480296,37.7775042522,6.0,20190523173513,2282,1,033-655-1117,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],25465,http://tong.visitkorea.or.kr/cms/resource/99/2529799_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2529799_image3_1.jpg
54,강원도 횡성군 횡성읍 수류암로 96,,32,B02,B0201,B02010900,136981,32,20030828000000,127.9687062257,37.4679115833,6.0,20181220154317,19224,18,033-344-0244,강변모텔,25239,http://tong.visitkorea.or.kr/cms/resource/46/1815046_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1815046_image3_1.jpg
55,강원도 인제군 인제읍 내린천로 5384,,32,B02,B0201,B02010700,138547,32,20050706000000,128.2720847253,38.0100072208,6.0,20190710104823,22787,10,033-462-0629,강변에서 황토콘도,24642,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg
56,강원도 홍천군 북방면 노일로310번길 15,,32,B02,B0201,B02010700,678537,32,20090113114631,127.7311991032,37.6861096552,6.0,20191127150826,18919,16,010-2679-3536,강변의수채화 펜션,25111,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg
57,강원도 춘천시 서면 경춘로 660,(서면),32,B02,B0201,B02010700,2397184,32,20160808092831,127.5833192548,37.8358534013,6.0,20161019175740,566,13,033-263-6111,강빛노을,24463,,
58,강원도 원주시 소초면 구룡사로 65,,32,B02,B0201,B02010600,137496,32,20031222000000,128.0599435001,37.4315174966,6.0,20181219140455,37362,9,033-732-8700<br />033-732-1600,강원도치악청소년수련원(구 치악산드림랜드유스호스텔),26304,http://tong.visitkorea.or.kr/cms/resource/14/1815114_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1815114_image3_1.jpg
59,경상북도 문경시 마성면 구랑로 333,,35,B02,B0201,B02010700,2568981,32,20181122151731,128.1204936198,36.6628987224,,20190902104944,0,7,010-5287-3375,강이 있는 풍경 (강이 있는 풍경 펜션),36923,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2566846_image2_1.jpg
60,강원도 정선군 정선읍 군언길 129,,32,B02,B0201,B02010700,137913,32,20040722000000,128.6109401719,37.3697517144,6.0,20190304154154,33271,11,033-563-7979,강이흐르는마을 펜션,26133,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/1825804_image3_1.jpg
61,전라북도 순창군 팔덕면 강천산길 85,,37,B02,B0201,B02010900,136962,32,20021125000000,127.0688209680,35.4085950781,6.0,20181204091047,22829,7,063-652-9920<br />063-652-9930,강천각모텔,56020,,
62,강원도 춘천시 남산면 강촌로 80-1,,32,B02,B0201,B02010700,139190,32,20070912000000,127.6345597418,37.8118376994,6.0,20190402163850,25339,13,033-261-0051,강촌 느티나무마을펜션,24465,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2045681_image2_1.JPG
63,강원도 춘천시 남산면 보매기길 38,,32,B02,B0201,B02010900,2021698,32,20150729132717,127.6428153341,37.7850909624,6.0,20190308144301,6817,13,033-261-6161,강촌 센스무인텔,24465,http://tong.visitkorea.or.kr/cms/resource/81/2021681_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2021681_image2_1.jpg
64,강원도 춘천시 남산면 강촌구곡길 62-9,,32,B02,B0201,B02010600,136078,32,20030402000000,127.6299381008,37.8063826926,6.0,20181220142706,32553,13,033-262-1201,강촌 유스호스텔,24465,http://tong.visitkorea.or.kr/cms/resource/56/588256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/588256_image3_1.jpg
65,강원도 춘천시 남산면 풀무골1길 56,(남산면),32,B02,B0201,B02010700,2397185,32,20160808093054,127.6422816302,37.7993392959,6.0,20161020164608,843,13,033-261-5454,강촌 해와달펜션,24465,,
66,강원도 춘천시 남산면 강촌로 143,,32,B02,B0201,B02010700,1802452,32,20130401094652,127.6372818657,37.8067688951,6.0,20190827163027,31308,13,010-3789-8080,강촌w펜션,24465,,
67,강원도 춘천시 남산면 풀무골1길 26-1,(남산면),32,B02,B0201,B02010700,2397188,32,20160808093630,127.6424927889,37.7970562315,6.0,20161020165254,978,13,033-262-6954,강촌마운틴펜션,24465,,
68,강원도 춘천시 남산면 검봉산길 23,(남산면),32,B02,B0201,B02010700,2397189,32,20160808093910,127.6155389085,37.8234554403,6.0,20161020165507,616,13,033-262-1220,강촌산여울펜션,24465,,
69,강원도 춘천시 남산면 강촌로 254,(남산면),32,B02,B0201,B02010700,2397190,32,20160808094103,127.6395819376,37.7972311575,6.0,20161020172306,533,13,033-262-6663,강촌스케치,24465,,
70,강원도 춘천시 남산면 갯골길 122,(남산면),32,B02,B0201,B02010700,2397191,32,20160808094253,127.6299383796,37.7969143490,6.0,20161020172810,758,13,033-261-0637,강촌스타밸리펜션,24465,,
71,전라남도 목포시 죽교천로 130,(산정동),38,B02,B0201,B02010900,2581490,32,20181221111013,126.3689423522,34.8027712225,,20190116094652,23,8,061-242-6673,강호장,58715,,
72,인천광역시 강화군 내가면 해안서로 972,,2,B02,B0201,B02010600,136605,32,20031222000000,126.3745223650,37.7044608085,6.0,20181221100018,41693,1,032-933-8891,강화유스호스텔,23054,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg
73,인천광역시 강화군 송해면 상도숭뢰길 183,,2,B02,B0201,B02010900,2521964,32,20171213100249,126.4771467709,37.7866919073,6.0,20190926135638,1882,1,"032-930-7058, 7062",강화평화빌리지,23020,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG
74,경상남도 김해시 대동면 대동로 536-15,,36,B02,B0201,B02010700,2604455,32,20190530174506,128.9715719437,35.2460833367,6.0,20190531094804,0,4,055-339-7486,개리비안비치펜션,50809,http://tong.visitkorea.or.kr/cms/resource/66/2604466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2604466_image2_1.jpg
75,경상북도 고령군 쌍림면 개실2길 45-5,,35,B02,B0201,B02010700,2531264,32,20180111151726,128.2274451084,35.6675389509,6.0,20190207170423,734,3,054-956-4022,개실마을영농조합법인 신안댁,40165,http://tong.visitkorea.or.kr/cms/resource/52/2530152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2530152_image3_1.jpg
76,경기도 양평군 서종면 황순원로 103,,31,B02,B0201,B02010700,913186,32,20100105134935,127.3780504440,37.5971718095,6.0,20190716140830,21441,19,031-774-4226,개울가펜션,12504,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942383_image3_1.jpg
77,전라남도 해남군 옥천면 도림길 81,,38,B02,B0201,B02011600,2574326,32,20181206094231,126.6616456733,34.5159721453,,20190902105013,0,23,010-9626-5848,개울한옥민박,59022,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2573738_image2_1.jpg
78,경상남도 창원시 진해구 충장로445번길 5,(이동),36,B02,B0201,B02011100,2569612,32,20181126110402,128.6987178062,35.1495308342,,20191024134143,0,16,010-3178-7901,갤러리 마중(GALLERY MAJUNG),51663,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2567828_image2_1.JPG
79,강원도 인제군 기린면 설피밭길 661,,32,B02,B0201,B02010700,139867,32,20070808000000,128.4726878934,38.0375689808,6.0,20190906153122,26182,10,033-463-1209,갤러리&팬션 풍경소리,24653,http://tong.visitkorea.or.kr/cms/resource/83/1843083_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1843083_image3_1.jpg
80,강원도 화천군 화천읍 중앙로2길 31-10,,32,B02,B0201,B02010900,628541,32,20080925143519,127.7044891437,38.1034161564,6.0,20190109142603,31904,17,033-441-7999,갤러리하우스모텔,24129,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1853078_image3_1.jpg
81,강원도 정선군 사북읍 소금강로 3489,,32,B02,B0201,B02010900,139224,32,20070212000000,128.8420903297,37.2294806274,6.0,20190304111716,22602,11,033-592-9923,갤럭시 모텔,26150,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/207320_image3_1.jpg
82,경상북도 포항시 북구 해안로 93,,35,B02,B0201,B02010100,2004586,32,20150520092929,129.3778107851,36.0571801544,6.0,20181227101644,6814,23,054-251-9988,갤럭시관광호텔,37708,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2004653_image2_1.jpg
83,강원도 정선군 북평면 졸드루길 59,,32,B02,B0201,B02010700,625698,32,20080918131850,128.6330467762,37.4535591391,6.0,20190220143845,23783,11,033-562-0554,갤럭시펜션,26100,http://tong.visitkorea.or.kr/cms/resource/01/600501_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/600501_image3_1.jpg
84,인천광역시 계양구 계양문화로53번길 8,,2,B02,B0201,B02010900,1832011,32,20130730155911,126.7357023593,37.5358673686,6.0,20190708162625,8047,2,032-545-5803,갤럭시호텔,21068,http://tong.visitkorea.or.kr/cms/resource/22/1832022_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/1832022_image2_1.JPG
85,경상남도 통영시 산양읍 논아랫개길 134-51,,36,B02,B0201,B02010700,2575042,32,20181207134131,128.4326952022,34.7820199583,,20190115160049,7,17,010-9335-1784,갯내음 펜션,53086,,
86,경상남도 통영시 용남면 견유1길 175,,36,B02,B0201,B02010700,590873,32,20080721093843,128.4742332025,34.8895475680,6.0,20190104100113,21989,17,010-6709-0706,갯바위펜션,53024,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1899757_image3_1.jpg
87,충청남도 태안군 남면 진산1길 195-14,,34,B02,B0201,B02010700,945148,32,20100204113618,126.2729252076,36.7086440078,6.0,20191223105650,18200,14,041-675-1262,갯벌부흥펜션,32151,,
88,경상북도 고령군 쌍림면 개실2길 32,,35,B02,B0201,B02011600,2600188,32,20190430160448,128.2247647071,35.6705830022,,20190725152831,0,3,010-3207-4022,거경제,40165,,
89,전라남도 해남군 삼산면 민박촌길 63,,38,B02,B0201,B02011600,2593235,32,20190325095804,126.6066284695,34.5083526509,,20191206153954,11,23,061-535-1456,거목장민박 [한국관광 품질인증/Korea Quality],59047,http://tong.visitkorea.or.kr/cms/resource/69/2632869_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2632869_image3_1.jpg
90,전라남도 해남군 삼산면 민박촌길 63,,38,B02,B0201,B02010700,1866076,32,20131202181601,126.6067895655,34.5083915384,6.0,20190405170236,19285,23,061-535-1456,거목장민박(해남민박),59047,,
91,충청북도 음성군 맹동면 장성로 107,,33,B02,B0201,B02010900,2544731,32,20180426160602,127.5457160822,36.9051604082,6.0,20190529160543,532,6,043-878-2300,거성호텔 [한국관광 품질인증/Korea Quality],27738,,
92,경상남도 거제시 남부면 거제대로 283,,36,B02,B0201,B02010600,397642,32,20080123152340,128.6384673548,34.7381396532,6.0,20181231140604,40618,1,055-632-7977,거제 유스호스텔,53334,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1981448_image3_1.jpg
93,경상남도 거제시 일운면 와현로 51,,36,B02,B0201,B02010700,925575,32,20100115182254,128.7087369761,34.8157294799,6.0,20190313140557,24014,1,055-681-2442,거제 좋은데펜션(구 외도바다펜션),53329,,
94,경상남도 거제시 서문로 66-1,(고현동),36,B02,B0201,B02010400,2578459,32,20181214170134,128.6231424642,34.8893613759,6.0,20190118173017,21,1,055-638-3342,거제MVG호텔,53251,,
95,경상남도 거제시 거제중앙로 1898-5,,36,B02,B0201,B02010100,142984,32,20031223000000,128.6239840921,34.8880476491,6.0,20191226175854,35878,1,055-632-7002,거제관광호텔,53251,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1981439_image3_1.jpg
96,경상남도 거제시 장목면 거제북로 2738-1,,36,B02,B0201,B02010700,1855463,32,20131101164252,128.6931334899,34.9974616592,6.0,20190318153746,8663,1,055-634-4900<br />055-634-4901,거제더비치펜션,53201,,
