,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,modifiedtime,readcount,sigungucode,tel,title,mlevel,zipcode
11,경기도 양평군 지평면 부일길 101,(지평면),31,A02,A0203,A02030100,1553085,12,20120215150046,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,127.6140193424,37.4517346633,20191211165433,18204,19,,가루매마을,6.0,12544
12,강원도 홍천군 두촌면 가리산길 426,(두촌면),32,A01,A0101,A01010600,2400332,12,20160812154422,,,127.9811155223,37.8656351470,20161005151434,449,16,033-430-2544,가리산 자연휴양림,6.0,25164
13,경기도 포천시 이동면 장암리,,31,A01,A0101,A01010400,125463,12,20030725000000,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,127.4028046120,38.0433008935,20180703101401,30062,29,,가리산(포천),6.0,11111
14,강원도 홍천군 두촌면 가리산길 260-9,(두촌면),32,A01,A0101,A01010400,125593,12,20030327000000,http://tong.visitkorea.or.kr/cms/resource/86/609386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/609386_image3_1.jpg,127.9566453426,37.8716589858,20180629103753,43014,16,,가리산(홍천),6.0,25164
15,강원도 홍천군 두촌면 가리산길 426,(두촌면),32,A01,A0101,A01010600,126905,12,20030616000000,http://tong.visitkorea.or.kr/cms/resource/94/609394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/609394_image3_1.jpg,127.9795073354,37.8656156746,20181129135622,74197,16,033-435-6034,가리산자연휴양림,6.0,25164
16,강원도 정선군 정선읍 가리왕산로 707,"(가리왕산자연휴양림), 평창 진부면",32,A01,A0101,A01010400,127508,12,20031209000000,http://tong.visitkorea.or.kr/cms/resource/87/1690887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1690887_image3_1.jpg,128.5634777835,37.4618262980,20190513171704,46984,11,,가리왕산,6.0,26119
17,전라남도 담양군 용면 용소길 261,,38,A01,A0101,A01010900,127423,12,20030925000000,http://tong.visitkorea.or.kr/cms/resource/19/219719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/219719_image3_1.jpg,127.0186881574,35.4533197102,20180529112711,89406,7,,가마골계곡,7.0,57300
18,전라남도 담양군 용면 용소길 261,,38,A01,A0101,A01010500,2014192,12,20150707140103,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image3_1.jpg,127.0227796727,35.4450484951,20190705163508,7720,7,,가마골생태공원,6.0,57300
19,전라남도 영광군 홍농읍 가마미로 355,,38,A01,A0101,A01011200,126289,12,20030707000000,http://tong.visitkorea.or.kr/cms/resource/54/189654_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/189654_image3_1.jpg,126.4090769892,35.3997293920,20180705110303,56445,16,061-353-3701~5,가마미해수욕장,6.0,57000
20,전라북도 부안군 상서면 청림리,,37,A01,A0101,A01010900,1625067,12,20120508160149,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image3_1.jpg,126.6241097681,35.6549789979,20190131172419,24374,6,,가마소계곡,6.0,56343
21,제주특별자치도 제주시 한경면 청수서5길,(한경면) 일원,39,A01,A0101,A01010400,1884191,12,20140113094533,,,126.2470543070,33.3056418997,20180718144001,2865,4,,가마오름,6.0,63006
22,제주특별자치도 제주시 한경면 청수로 13-3,(한경면),39,A01,A0101,A01010400,1884202,12,20140113104252,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,126.2488091788,33.3295309529,20180719165124,2513,4,064-728-2742,가메창(암메),6.0,63006
23,경상남도 진주시 명석면 관덕길 174,(명석면),36,A02,A0203,A02030100,128498,12,20050512000000,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,128.0324121006,35.2586565930,20191023092337,19783,13,,가뫼골마을,6.0,52641
24,제주특별자치도 서귀포시 표선면 가시리 산,(표선면) 일대,39,A01,A0101,A01010400,1884505,12,20140114102329,,,126.7403699255,33.4241699560,20180717100653,2174,3,,가문이오름(감은이오름),6.0,63623
25,경상남도 거제시 동부면 가배리,,36,A02,A0201,A02010200,127268,12,20040119000000,,,128.5722052958,34.7817585943,20181019172444,24264,1,,가배량성,6.0,53330
26,전라남도 진도군 조도면 가사도길 106,,38,A01,A0101,A01011300,578400,12,20080623102244,,,126.0510003156,34.4789302819,20191203162230,28282,21,,가사도,9.0,58953
27,전라남도 진도군 조도면 가사도돌목길,,38,A01,A0101,A01011600,129141,12,20060712000000,,,126.0429125538,34.4611877004,20180725142610,22611,21,,가사도 등대,6.0,58953
28,전라남도 완도군 약산면 가사길 62,,38,A01,A0101,A01011200,2615324,12,20190814162008,,,126.9279341401,34.3708344605,20190814162008,0,18,,가사동백숲해변,6.0,59136
29,전라남도 완도군 약산면 가사길,,38,A01,A0101,A01011200,1916695,12,20140428142048,,,126.9281702396,34.3704872810,20180621133508,2285,18,,가사해수욕장,6.0,59136
30,강원도 평창군 봉평면 창동리 544,,32,A02,A0202,A02020700,2403809,12,20160822174017,,,128.3700323463,37.6126079618,20160822174606,328,15,033-330-2540,가산공원,6.0,
31,충청북도 옥천군 안내면 안내회남로 671,,33,A02,A0201,A02010800,294369,12,20071126144108,,,127.5973920906,36.4015885618,20191016171733,19160,5,,가산사,6.0,29005
32,경상북도 칠곡군 가산면 가산로 891,,35,A02,A0203,A02030100,2629074,12,20191022164804,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,128.5978129850,36.0501079498,20191023092418,0,22,,가산산성마을,6.0,39853
33,전라남도 장성군 삼서면 영장로 2015,,38,A02,A0201,A02010700,1957336,12,20141017100007,,,126.6931003984,35.2313226604,20190418164048,1812,19,,가산서원,6.0,57256
34,경상북도 칠곡군 가산면 학하들안2길 105,,35,A01,A0101,A01010700,2633896,12,20191107132311,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,128.4850691574,36.0861545517,20191125092529,0,22,,가산수피아,6.0,39849
35,제주특별자치도 제주시 연미길,(오라삼동),39,A01,A0101,A01010400,1884521,12,20140114103335,,,126.5039945305,33.4889034625,20180720111905,3712,4,064-740-6001,가새기오름,6.0,63145
36,경상남도 거창군 북상면 송계로 731-42,(북상면),36,A02,A0201,A02010700,1578561,12,20120326163044,,,127.8160339922,35.7788772875,20190226131320,15192,2,,가선정,6.0,50102
37,충청북도 음성군 음성읍 가섭길 494,,33,A02,A0201,A02010800,294390,12,20071126145315,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1075092_image3_1.jpg,127.7030557496,36.9666339700,20191016171612,21440,6,,가섭사,6.0,27688
38,경상남도 거창군 위천면 상천리,,36,A02,A0201,A02010700,1579499,12,20120326185657,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1611166_image3_1.jpg,127.7919733418,35.7375176597,20190422173301,16757,2,,가섭암지 마애여래삼존입상,6.0,50103
39,제주특별자치도 서귀포시 표선면 세화로,(토산리) 일원,39,A01,A0101,A01010400,1885746,12,20140116092858,,,126.7815518045,33.3314253030,20180717101045,2233,3,,가세오름,6.0,63625
40,강원도 삼척시 노곡면 문의재로 2470,(노곡면),32,A02,A0206,A02060300,2400127,12,20160812093518,,,129.1792257372,37.2665662250,20160927152935,574,4,033-573-2120,가시오가피마을 홍보관,6.0,25941
41,제주특별자치도 서귀포시 대정읍 하모이삼로21번길,(대정읍),39,A01,A0101,A01010400,1885754,12,20140116095151,,,126.2428337586,33.2466816814,20180717100552,2778,3,,가시오름,6.0,63507
42,경상북도 칠곡군 왜관읍 가실1길 1,,35,A02,A0201,A02010900,2513971,12,20171102144940,,,128.4049220662,35.9368172454,20191105155506,582,22,,가실성당,6.0,39912
43,강원도 인제군 북면 용대리,,32,A01,A0101,A01010900,125663,12,20030813000000,,,128.4531869124,38.1266165821,20191128162529,39494,10,,가야동계곡,6.0,24606
44,경상남도 합천군 가야면 가야산로 1783,(가야면),36,A03,A0302,A03022700,2414679,12,20160909141524,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image3_1.jpg,128.0909093551,35.7911141625,20190906104807,6689,21,,가야산 소리길,6.0,50200
45,경상북도 성주군 수륜면 가야산식물원길 49,,35,A01,A0101,A01010700,129212,12,20060828000000,http://tong.visitkorea.or.kr/cms/resource/70/1399670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1399670_image3_1.jpg,128.1418573045,35.8031276100,20181204175022,43000,10,054-931-1264,가야산 야생화식물원,6.0,40063
46,충청남도 서산시 해미면 산수리,,34,A01,A0101,A01010400,125822,12,20030930000000,http://tong.visitkorea.or.kr/cms/resource/00/1961100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1961100_image3_1.jpg,126.6091060355,36.7039864327,20191224181314,41292,7,,가야산(서산),6.0,31961
47,경북 성주군 수륜면 백운리,일원,35,A01,A0101,A01010100,126023,12,20040225000000,http://tong.visitkorea.or.kr/cms/resource/95/1399695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/1399695_image3_1.jpg,128.1418101673,35.8001779432,20181204134927,43462,10,,가야산국립공원(백운동 지구),6.0,719-892
48,경상남도 합천군 가야면 가야산로 1200,", 경남 거창군 가조면, 경북 성주군 수륜면",36,A01,A0101,A01010100,126022,12,20040213000000,,,128.1188754337,35.8239914967,20181204135032,41554,21,,"가야산국립공원(홍류동,청량동지구)",6.0,50201
49,경상북도 성주군 가천면 신계1길 4-12,(가천면),35,A02,A0203,A02030100,128481,12,20050510000000,,,128.1365115889,35.8670591546,20191220141018,6037,10,,가야산칠불봉 야생화마을,6.0,40062
50,경상남도 김해시 봉황동,,36,A02,A0203,A02030600,250121,12,20060728000000,http://tong.visitkorea.or.kr/cms/resource/91/2020291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2020291_image2_1.jpg,128.8725475322,35.2355465857,20191112155019,24175,4,,가야의 거리,6.0,50918
51,경상남도 양산시 원동면 용당들길 43-62,,36,A02,A0201,A02010700,1236556,12,20110321105941,http://tong.visitkorea.or.kr/cms/resource/89/1227889_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1227889_image3_1.jpg,128.9023718710,35.3675378711,20190213143923,30344,10,,가야진사,6.0,50586
52,대전광역시 대덕구 비래동,,3,A02,A0202,A02020700,1622646,12,20120504143804,http://tong.visitkorea.or.kr/cms/resource/03/1585303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1585303_image3_1.jpg,127.4470928123,36.3585130258,20191209153849,18820,1,,가양비래근린공원,6.0,34417
53,경상북도 예천군 개포면 가곡리,(개포면),35,A02,A0202,A02020700,128132,12,20040510000000,http://tong.visitkorea.or.kr/cms/resource/89/1615189_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1615189_image3_1.jpg,128.3508189720,36.6118727137,20191223174800,24535,16,,가오실공원,6.0,36844
54,전라남도 강진군 도암면 월곶로 473,(도암면),38,A01,A0101,A01011300,2024432,12,20150820145050,http://tong.visitkorea.or.kr/cms/resource/37/2483137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2483137_image3_1.jpg,126.7808236399,34.5347608944,20190701173209,22201,1,,가우도,6.0,59251
55,전라남도 강진군 도암면 신기리,,38,A02,A0205,A02050100,2514003,12,20171102154852,http://tong.visitkorea.or.kr/cms/resource/37/2483137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2483137_image3_1.jpg,126.7717356912,34.5288669609,20190404143904,1825,1,,가우도 출렁다리,6.0,59251
56,경기도 과천시 문원동 226번지,,31,A02,A0206,A02060500,2518561,12,20171130140136,,,126.9992731557,37.4239156243,20180219141158,294,3,02-504-3730,가원미술관,,13826
57,강원도 동해시 지가길 100,(지가동),32,A01,A0101,A01010500,2398442,12,20160809171236,,,129.1090590493,37.4721106545,20170215140904,761,3,033-530-2261,가원습지 생태자연공원,6.0,25820
58,경기도 파주시 적성면 달빛길 345,,31,A02,A0201,A02011000,2569494,12,20181124152330,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image3_1.jpg,126.9041881081,37.9841264756,20191023103127,41,27,,가월리 · 주월리 구석기 유적,6.0,10802
59,충청남도 태안군 근흥면 가의도길,,34,A01,A0101,A01011300,125848,12,20030619000000,,,126.0749440746,36.6730836379,20180523145037,46485,14,,가의도,6.0,32133
60,전라북도 순창군 복흥면 하리길 160,(복흥면),37,A02,A0201,A02010500,2357441,12,20151229131055,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2357300_image2_1.jpg,126.9774224423,35.4505693165,20191120111754,1907,7,,가인 김병로 생가터,6.0,56002
61,전라남도 곡성군 고달면 가정마을길 120,(고달면),38,A02,A0203,A02030100,128427,12,20050422000000,,,127.3712766775,35.2263181024,20191220144812,24570,3,,가정녹색농촌체험마을,6.0,57547
62,경상남도 거창군 가조면 온천길 161,(가조면),36,A02,A0202,A02020300,127956,12,20040127000000,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2042650_image3_1.jpg,128.0229123052,35.6987289587,20191224173958,35271,2,,가조 백두산천지온천,6.0,50118
63,울산광역시 울주군 상북면 운문로 48,,7,A02,A0202,A02020300,127979,12,20070907000000,,,129.0496741844,35.6210315282,20191224171416,39281,5,,가지산 탄산유황온천,6.0,44901
64,경상남도 밀양시 산내면,",경상북도 청도군 운문면, 울산광역시 울주군 상북면",36,A01,A0101,A01010200,126027,12,20031028000000,http://tong.visitkorea.or.kr/cms/resource/41/1144541_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/1144541_image3_1.jpg,128.9804563782,35.5803348234,20190130091804,48763,7,,가지산도립공원(밀양),6.0,627-830
65,울산광역시 울주군 상북면,", 경상남도 밀양시 산내면, 경상북도 청도군 운문면",7,A01,A0101,A01010200,127567,12,20030331000000,http://tong.visitkorea.or.kr/cms/resource/44/1144544_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1144544_image3_1.jpg,129.0031727204,35.6202696360,20190130163046,46188,5,,가지산도립공원(울주),6.0,689-820
66,강원도 고성군 죽왕면 가진해변길 121-12,,32,A01,A0101,A01011400,2514820,12,20171110143221,,,128.5111491243,38.3676896199,20191113133427,1198,2,,가진항,6.0,24744
67,강원도 고성군 죽왕면 가진해변길,(죽왕면),32,A01,A0101,A01011200,126785,12,20030710000000,http://tong.visitkorea.or.kr/cms/resource/11/2607611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2607611_image3_1.jpg,128.4527410312,38.4411215795,20190820102314,32658,2,033-680-3114,가진해변,6.0,24744
68,대구광역시 달성군 가창면 가창로 1099,(가창면),4,A02,A0203,A02030600,2034446,12,20151020151307,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1876170_image3_1.jpg,128.6222232980,35.8027142041,20191120144938,5448,3,,가창 찐빵 골목,6.0,42933
69,경남 남해군 남면 홍현리 남면로 679번길 21,,36,A01,A0101,A01011500,127778,12,20040129000000,http://tong.visitkorea.or.kr/cms/resource/23/2631923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2631923_image3_1.jpg,127.8943963083,34.7279803963,20191030170303,66585,5,,가천 다랭이마을,6.0,668-861
70,경기도 가평군 가평읍 용추로 269,,31,A02,A0203,A02030400,2553504,12,20180712091334,http://tong.visitkorea.or.kr/cms/resource/05/2553505_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/05/2553505_image2_1.bmp,127.4843167566,37.8497027373,20190719101033,526,1,,가치가(관광두레 주민사업체),6.0,12408
71,강원도 양구군 해안면,,32,A02,A0201,A02010700,126608,12,20020510000000,http://tong.visitkorea.or.kr/cms/resource/61/2495061_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2495061_image2_1.jpg,128.1286456559,38.2606113994,20190123165849,30118,6,,가칠봉지구전투전적지,6.0,24564
72,제주특별자치도 서귀포시 대정읍 가파로,,39,A01,A0101,A01011300,126446,12,20030909000000,http://tong.visitkorea.or.kr/cms/resource/18/1999118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/1999118_image3_1.jpg,126.2735884192,33.1664326869,20191008133644,62654,3,,가파도,6.0,63514
73,충청남도 청양군 대치면 가파로 506-6,,34,A02,A0203,A02030100,128418,12,20070914000000,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/20/2629520_image2_1.bmp,126.8796427201,36.4976315311,20191023092231,29951,13,,가파마을,6.0,33341
74,경기도 가평군 가평읍 용추로 238,,31,A02,A0203,A02030100,630461,12,20080930173346,,,127.4877442849,37.8475697154,20190916152655,27553,1,,가평 아홉마지기마을,6.0,12408
75,경기도 가평군 북면 백둔로 417-11,,31,A02,A0203,A02030100,129285,12,20061031000000,http://tong.visitkorea.or.kr/cms/resource/76/532876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/532876_image3_1.jpg,127.4623783495,37.9014407526,20191216171630,31755,1,,가평 연인산마을,6.0,12406
76,경기도 가평군 상면 역촌길 122,,31,A02,A0201,A02010700,1200950,12,20110210123947,,,127.3456420504,37.7969979887,20181001170320,35043,1,,가평 연하리향나무,6.0,12444
77,경기도 가평군 상면 축령로 70,,31,A02,A0203,A02030100,129407,12,20061213000000,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2364435_image3_1.jpg,127.3645382139,37.7741593259,20191216140614,35478,1,,가평 영양잣마을,6.0,12448
78,경기도 가평군 가평읍 호반로 2540,(가평읍) 부근,31,A02,A0205,A02050200,1104176,12,20101005173757,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2480684_image2_1.jpg,127.5157483134,37.8126354086,20181217170420,26911,1,,가평 현충탑,6.0,12422
79,경기도 가평군 가평읍 경춘로 2045-65,,31,A02,A0206,A02060300,1200751,12,20110210104837,,,127.4980942715,37.8158569298,20171010173120,36843,1,031-581-0550,가평군목공예영농조합,6.0,12424
80,경상북도 봉화군 물야면 계서당길 24,,35,A02,A0201,A02010500,127154,12,20040213000000,,,128.7335028137,36.9496412350,20190531142145,27373,8,,가평리 계서당(성이성 생가),6.0,36205
81,경기도 가평군 설악면 방일리,,31,A02,A0201,A02010700,1201082,12,20110210135513,,,127.4915450327,37.6196823854,20180903164859,33930,1,,가평별묘,6.0,12472
82,경기도 가평군 청평면 북한강로 2047,,31,A01,A0101,A01010500,1889094,12,20140124095946,,,127.3929350158,37.6995879617,20180620141945,6720,1,,가평삼회 생태복원지구,6.0,12458
83,경기도 가평군 가평읍 대곡리,,31,A02,A0205,A02050200,1284247,12,20110523131332,,,127.5054711096,37.8249893370,20191220144951,16414,1,,가평의병3.1항일운동기념비,6.0,12416
84,경기도 가평군 가평읍 문화로 131,(가평읍),31,A02,A0205,A02050200,1283850,12,20110520141515,,,127.5057710373,37.8265224976,20191220155043,40634,1,,가평학도의용대참전기념비,6.0,12416
85,경기도 가평군 가평읍 향교로 23-1,(가평읍),31,A02,A0201,A02010700,921096,12,20100113093142,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1090919_image3_1.jpg,127.5074902248,37.8299471303,20190527113049,21967,1,,가평향교,6.0,12417
86,경기도 광명시 가학동,,31,A02,A0201,A02010700,736597,12,20090520104046,http://tong.visitkorea.or.kr/cms/resource/67/734367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/734367_image3_1.jpg,126.8568365465,37.4085426445,20190226104449,17576,4,,가학동지석묘,6.0,14339
87,전남 완도군 소안면 미라리,,38,A01,A0101,A01010400,799819,12,20090908140442,http://tong.visitkorea.or.kr/cms/resource/75/786375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/786375_image3_1.jpg,126.6593100914,34.1522183506,20191209171639,21636,18,,가학산,6.0,537-831
88,전라남도 해남군 계곡면 산골길 306,(계곡면),38,A01,A0101,A01010600,126958,12,20030616000000,http://tong.visitkorea.or.kr/cms/resource/37/219037_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/219037_image3_1.jpg,126.6161153759,34.6715705981,20191204131110,86290,23,061-535-4812,가학산자연휴양림,6.0,59017
89,경상남도 진주시 이반성면 용암길 59-2,,36,A02,A0201,A02010700,1959464,12,20141023105955,,,128.3325771223,35.1664473205,20190524110133,1284,13,,가호서원,6.0,52614
90,경상남도 합천군 가야면 야천로 101,,36,A02,A0203,A02030100,538472,12,20080417135018,http://tong.visitkorea.or.kr/cms/resource/70/2484270_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2484270_image2_1.jpg,128.1395944368,35.7729782070,20190918144248,19690,21,,각사산촌행태체험마을,6.0,50201
91,경상남도 사천시 수도골안길 24,(동림동),36,A01,A0101,A01010400,129537,12,20070504000000,http://tong.visitkorea.or.kr/cms/resource/78/2031478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2031478_image3_1.jpg,128.0749445160,34.9396070819,20190911100642,20286,8,,각산,6.0,52553
92,제주특별자치도 서귀포시 호근동 2112,(호근동),39,A01,A0101,A01010400,1887368,12,20140120152153,,,126.5269445463,33.2767800518,20191204142706,2203,3,,각시바우오름,6.0,63575
93,충청북도 괴산군 칠성면 각연길 451,,33,A02,A0201,A02010800,127241,12,20030813000000,http://tong.visitkorea.or.kr/cms/resource/75/730975_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/730975_image3_1.jpg,127.9272666180,36.7551234884,20180928093255,34239,1,,각연사(괴산),6.0,28018
94,충청남도 천안시 동남구 각원사길 245,(안서동),34,A02,A0201,A02010800,125885,12,20031205000000,http://tong.visitkorea.or.kr/cms/resource/96/565696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/565696_image3_1.jpg,127.1970050154,36.8340789963,20190930133342,29301,12,,각원사,6.0,31066
95,경상북도 봉화군 춘양면,", 소천면",35,A01,A0101,A01010400,127157,12,20030401000000,,,128.9104493791,37.0015775488,20180705133502,23360,8,,각화산,6.0,36214
96,전라남도 진도군 조도면 관매작흘도길 6,,38,A01,A0101,A01011300,580102,12,20080625175226,,,126.0510943280,34.2577606440,20181228092905,22376,21,,각흘도,6.0,58958
97,충청남도 부여군 임천면 성흥로283번길 31-4,,34,A02,A0201,A02010700,1956297,12,20141015102144,,,126.9083485111,36.1824820312,20191126163903,1766,6,,간곡서원,6.0,33220
98,강원도 고성군 간성읍 진부령로 2659,(간성읍),32,A02,A0201,A02010700,126792,12,20020510000000,http://tong.visitkorea.or.kr/cms/resource/60/738160_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/738160_image3_1.jpg,128.4389748268,38.3778814721,20190611164522,33004,2,,간성향교,6.0,24727
